no;smiles;biotic_flag;ExactMolWt;MolLogP;NumHAcceptors;NumHDonors
62;O=C(O)CC(=O)C(=O)O;1;132.005873228;-0.8851999999999998;3.0;2.0
63;NC(Cc1ccccc1)C(=O)NCC(=O)NCC(=O)O;1;279.121906024;-1.1265999999999987;4.0;4.0
64;NC(CO)C(=O)NCC(=O)NC(CC(=O)O)C(=O)O;1;277.09099982000004;-3.533699999999996;6.0;6.0
65;CC(N)C(=O)NC(Cc1ccccc1)C(=O)NCC(=O)O;1;293.137556088;-0.7380999999999991;4.0;4.0
66;OCC1OC(O)C(O)C1O;1;150.05282342;-2.5823000000000005;5.0;4.0
67;O=CC(O)CO;1;90.031694052;-1.4615;3.0;2.0
68;NC(CCC(=O)O)C(=O)O;1;147.053157768;-0.7368999999999997;3.0;3.0
69;NCC(=O)NC(Cc1ccccc1)C(=O)NCC(=O)O;1;279.121906024;-1.1265999999999978;4.0;4.0
70;CC(O)C(=O)O;1;90.031694052;-0.5482;2.0;2.0
71;CC(NC(=O)C(N)CO)C(=O)O;1;176.079706864;-2.104699999999999;4.0;4.0
72;NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O;1;280.105921612;-0.3994999999999996;4.0;4.0
73;Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1;1;283.091668516;-2.6867000000000005;9.0;5.0
74;CC(N)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O;1;293.137556088;-0.7380999999999984;4.0;4.0
75;O=c1[nH]cnc2[nH]cnc12;1;136.038510748;-0.35380000000000006;3.0;2.0
76;CC(N)C(=O)NCC(=O)O;1;146.06914218;-1.4655999999999998;3.0;3.0
77;CC(NC(=O)CN)C(=O)O;1;146.06914218;-1.4655999999999993;3.0;3.0
78;CC(NC(=O)C(Cc1ccccc1)NC(=O)CN)C(=O)O;1;293.137556088;-0.7380999999999982;4.0;4.0
79;CC(NC(=O)C(N)Cc1ccccc1)C(=O)O;1;236.116092372;0.1457000000000001;3.0;3.0
80;NCC(=O)NCC(=O)NCC(=O)NCC(=O)O;1;246.096419548;-3.621699999999998;5.0;5.0
