"cluster_id";"is_centroid";"smiles"
0;0;"N#CCCN(CC(=O)NCCC(N)=O)C(=O)C(N)CO"
0;0;"CC(N)C(=O)NCC(=O)NCC(=O)N(CC#N)CCC#N"
0;0;"CC(NC(=O)CCN(CC#N)C(N)=O)C(=O)O"
0;0;"CC(OC(=O)CNC(=O)CN(CC#N)C(N)=O)C(N)=O"
0;0;"CCN(C(=O)CCN(C(N)=O)C(C)C#N)C(C#N)CC#N"
0;0;"N#CCN(CC(=O)NCCC(N)=O)C(N)=O"
0;0;"CC(C(N)=O)N(CCC#N)C(=O)CCN(CC#N)C(N)=O"
0;0;"CC(C#N)N(CC#N)C(=O)CN(CCC(N)=O)C(N)=O"
0;0;"CCN(CC#N)C(=O)CNC(=S)CN1CC(=O)NC1=O"
0;0;"N#CCCN(CCC(=O)NCC(=O)NCC#N)C(N)=O"
0;0;"N#CCN(CCC(=O)O)C(=O)CNC(=O)CCNC(N)=O"
0;0;"CC(C#N)NC(=O)CN(CC(N)=O)C(=O)CNC(N)=O"
0;0;"CC(O)C(=O)N(CCC#N)CC(=O)NCC(=O)NCC#N"
0;0;"CCN(CC#N)C(=O)CNC(=O)CNC(=N)N"
0;0;"N#CCCN(CCC(=O)N(CCC#N)CC(N)=O)C(N)=O"
0;0;"CC(N)C(=O)NCC(=O)N(CC#N)CC(N)=O"
0;0;"N#CCNC(=O)CCN(CC#N)C(N)=O"
0;0;"N#CCCN(CC#N)C(=O)CNC(=O)CNC=CC(N)=O"
0;0;"N#CCNC(=O)CCN(CC(=O)NCC(N)=O)C(N)=O"
0;0;"N#CCCN(CC(=O)NCC#N)C(=O)CNC(N)=O"
0;0;"N#CCN(CCC(=O)OCC(N)=O)C(=O)CNC=O"
0;0;"N#CCCN(CC#N)C(=O)CNC(=O)CN"
0;0;"CC(N)C(=O)N(CC#N)CC(=O)NCC(=O)NCC(N)=O"
0;0;"NC(=O)CCN(CC(N)=O)C(=O)CNC=O"
0;0;"N#CCNC(=O)CN(CCC(=O)NCC(N)=O)C(N)=O"
0;0;"COC(=O)CCN(CCC#N)C(=O)CNC(N)=O"
0;0;"CCN(CC#N)C(=O)CN(CC(N)=O)C(=O)CNC(N)=O"
0;0;"CCN(CC(=O)NCC(N)=O)C(N)=O"
0;0;"CC(O)C(C#N)NC(=O)CN(CCC#N)C(N)=O"
0;0;"N#CCNC(=O)CNC(=O)CCN(CCC(N)=O)C(N)=O"
0;0;"CC(O)CNCC(=O)NCC(=O)N(CC#N)CC#N"
0;0;"N#CCCN(CC#N)C(=O)CN(CC#N)C(=O)CNC=O"
0;0;"CC(N)C(=O)N(CCC#N)CC(N)=O"
0;0;"N#CCCN(CC(=O)NCC(N)=O)C(=O)C(N)CO"
0;0;"CC=NCC(=O)N(CC#N)CC(=O)NCC(N)=O"
0;0;"N#CCCN(CC(N)=O)C(=O)CCNC(N)=O"
0;0;"N#CCCN(CC(N)=O)C(=O)CNC=O"
0;0;"CC(=S)NCC(=O)NCC(=O)N(CC#N)CC#N"
0;0;"N#CCCNC(=O)CN(C=O)CC#N"
0;0;"COC(=O)CN(CC#N)C(=O)CNC(=O)CNC(N)=O"
0;0;"N#CCCN(C=O)CCC(=O)N(CC#N)CC(N)=O"
0;0;"N#CCCN(CCC(N)=O)C(=O)CNC(=O)CN"
0;0;"NC(=O)CNC(=O)CN(CC(=O)NCC(N)=O)C(N)=O"
0;0;"N#CCNC(=O)CC(C(=O)NCC#N)N(CC#N)C(N)=O"
0;0;"CCN(CC#N)C(=O)CCNC(N)=O"
0;0;"CC(C#N)N(CC#N)C(=O)CNC(=O)CN"
0;0;"CC(OC(=O)CCNC(=O)CN(CC#N)C(N)=O)C(N)=O"
0;0;"CC(C#N)N(CCC#N)C(=O)CNC(=O)CNC(N)=O"
0;0;"CCN(CCC#N)C(=O)CNC(=O)C(N)CO"
0;0;"N#CCNC(=O)CNC(=O)CN(CC#N)C(N)=O"
0;0;"CC(O)C(=O)N(CCC#N)CC(=O)NCCC(=O)O"
0;0;"N#CCN(CC(=O)NC(CO)CO)C(=O)CNC(N)=O"
