smiles; heat of formation [kcal/mol]
Cc1cnc(NCC(O)C(=O)OC(C(N)=O)C(O)C(N)=O)o1;-280.6421
Cc1cnc(NCC(O)C(=O)OCC(N)=O)o1;-182.85755
Cc1cnc(NCC(O)C(=O)OCC(O)C(N)=O)o1;-237.84966
Cc1cnc(NCC(O)C(=O)O)o1;-144.31049
Cc1cnc(N=CCO)o1;-30.47274
Cc1cnc(NC(C(=O)O)=C(C(=O)O)C(O)C(=CCO)c2ccccc2)o1;-231.72153
Cc1cnc(NC(C(=O)O)=C(C(=O)O)C(O)C(=O)CCO)o1;-301.86304
Cc1cnc(NC(C(=O)O)=C(C(=O)O)C(O)C(=O)O)o1;-300.1319
Cc1cnc(N=CC(=O)O)o1;-62.18561
Cc1cnc(NC(=N)C(=N)Nc2ncc(C)o2)o1;30.18286
Cc1cnc(NC(=N)NC(=N)N)o1;37.06096
Cc1cnc(NC(=N)N)o1;15.98551
Cc1cnc(NC=N)o1;14.32076
Cc1cnc(NC(N)=O)o1;-51.33342
Cc1cnc(NC(=O)c2ncnc3[nH]c(=O)c(=O)[nH]c23)o1;-62.722
Cc1cnc(NC(=O)c2ncnc(NC(=N)N)c2NC(=N)N)o1;43.86994
Cc1cnc(NC(=O)c2ncnc(NC(N)=O)c2NC(N)=O)o1;-83.46841
Cc1cnc(NC(=O)c2nc[nH]c2N(CC#Cc2ccccc2)C(N)=O)o1;24.61305
Cc1cnc(NC(=O)c2nc[nH]c2N(CCC#N)CCC#N)o1;44.08294
Cc1cnc(NC(=O)c2nc[nH]c2N(CCC#N)C(N)=O)o1;-25.97616
Cc1cnc(NC(=O)c2nc[nH]c2N(CCC#N)C(=O)CNC(=N)N)o1;-5.88295
Cc1cnc(NC(=O)c2nc[nH]c2N(CCC#N)C(=O)CNC(N)=O)o1;-69.90351
Cc1cnc(NC(=O)c2nc[nH]c2N(CC#N)CCC#N)o1;51.18337
Cc1cnc(NC(=O)c2nc[nH]c2N(CC#N)C(N)=O)o1;-15.91153
Cc1cnc(NC(=O)c2nc[nH]c2N(CC#N)C(=O)CNC(=N)N)o1;2.21985
Cc1cnc(NC(=O)c2nc[nH]c2N(CC#N)C(=O)CNC(N)=O)o1;-62.40866
Cc1cnc(NC(=O)c2nc[nH]c2NC(N)=O)o1;-56.98328
Cc1cnc(NC(=O)c2nc[nH]c2NC(=O)CNC(=N)NC(=N)N)o1;-23.88047
Cc1cnc(NC(=O)c2nc[nH]c2NC(=O)CNC(=N)N)o1;-39.59672
Cc1cnc(NC(=O)c2nc[nH]c2NC(=O)CNC(N)=O)o1;-100.74257
Cc1cnc(NC(=O)C2OC2C(=O)Nc2ncc(C)o2)o1;-89.70936
Cc1cnc(NC(=O)C(Cc2ccccc2)NC(=N)NC(=N)N)o1;8.77632
Cc1cnc(NC(=O)C(Cc2ccccc2)NC(=N)N)o1;-10.38439
Cc1cnc(NC(=O)C(Cc2ccccc2)NC(N)=O)o1;-76.27552
Cc1cnc(NC(=O)C(Cc2ccccc2)NC(=O)CNC(=N)N)o1;-55.24503
Cc1cnc(NC(=O)C(Cc2ccccc2)NC(=O)CNC(N)=O)o1;-121.42181
Cc1cnc(NC(=O)CC(C#Cc2ccccc2)N(CC#N)CCC#N)o1;82.45859
Cc1cnc(NC(=O)CC(C#Cc2ccccc2)N(CC#N)CC#N)o1;87.21479
Cc1cnc(NC(=O)CC(C(=O)Nc2ncc(C)o2)N(CCC#N)CCC#N)o1;-44.37336
Cc1cnc(NC(=O)CC(C(=O)Nc2ncc(C)o2)N(CCC#N)C(=N)N)o1;-48.44215
Cc1cnc(NC(=O)CC(C(=O)Nc2ncc(C)o2)N(CCC#N)C(N)=O)o1;-115.80583
Cc1cnc(NC(=O)CC(C(=O)Nc2ncc(C)o2)N(CC#N)CCC#N)o1;-35.72097
Cc1cnc(NC(=O)CC(C(=O)Nc2ncc(C)o2)N(CC#N)C(=N)N)o1;-44.00418
Cc1cnc(NC(=O)CC(C(=O)Nc2ncc(C)o2)N(CC#N)C(N)=O)o1;-108.65613
Cc1cnc(NC(=O)CC(C(=O)Nc2ncc(C)o2)N(C=O)C(C)C#N)o1;-105.79289
Cc1cnc(NC(=O)CC(C(=O)Nc2ncc(C)o2)N(C=O)CCC#N)o1;-109.70352
Cc1cnc(NC(=O)CC(C(=O)Nc2ncc(C)o2)N(C=O)CCC(N)=O)o1;-191.12935
Cc1cnc(NC(=O)CC(C(=O)Nc2ncc(C)o2)N(C=O)CCC(=O)O)o1;-232.18893
Cc1cnc(NC(=O)CC(C(=O)Nc2ncc(C)o2)N(C=O)C(C#N)CO)o1;-152.92549
Cc1cnc(NC(=O)CC(C(=O)Nc2ncc(C)o2)N(C=O)CC#N)o1;-102.54779
