smiles; heat of formation [kcal/mol]
C=C(c1ccccc1)C(C(=O)O)N(C=O)CC#N;-55.44288
C=C(c1ccccc1)C(C(=O)O)N(C=O)CC(O)C(=O)O;-227.02914
C=C(c1ccccc1)C(C(=O)O)N(C=O)CC(=O)O;-176.89156
C=C(c1ccccc1)C(Nc1cc[nH]c(=O)n1)C(N)=O;-25.28097
C=C(c1ccccc1)C(Nc1cc[nH]c(=O)n1)C(N)=S;31.9446
C=C(c1ccccc1)C(Nc1cc[nH]c(=O)n1)C(=O)O;-67.69565
C=C(c1ccccc1)C(Nc1ncco1)C(N)=O;-6.55508
C=C(c1ccccc1)C(Nc1ncco1)C(N)=S;48.45039
C=C(c1ccccc1)C(Nc1ncco1)C(=O)O;-50.84139
C=C(c1ccccc1)C(Nc1ncnc2[nH]cnc12)C(N)=O;60.29829
C=C(c1ccccc1)C(Nc1ncnc2[nH]cnc12)C(=O)O;18.53615
C=C(c1ccccc1)C(Nc1[nH]cnc1CC(N)=O)C(N)=O;-27.83629
C=C(c1ccccc1)C(Nc1[nH]cnc1C(N)=O)C(N)=O;-22.2894
C=C(c1ccccc1)C(Nc1[nH]cnc1C(=O)O)C(N)=O;-65.00818
C=C(c1ccccc1)C(Nc1[nH]cnc1C(=O)O)C(=O)O;-109.07452
C=C(c1ccccc1)C(NCCc1ccccc1)C(N)=O;14.22868
C=C(c1ccccc1)C(N=CCc1ccccc1)C(N)=O;29.57665
C=C(c1ccccc1)C(NCCc1ccccc1)C(N)=S;65.36405
C=C(c1ccccc1)C(N=CCc1ccccc1)C(=O)O;-14.26794
C=C(c1ccccc1)C(NCCc1ccccc1)C(=O)O;-32.38468
C=C(c1ccccc1)C(N=CCc1cnc[nH]1)C(N)=O;44.32579
C=C(c1ccccc1)C(N=CCc1cnc[nH]1)C(=O)O;-4.84762
C=C(c1ccccc1)C(N=CCCc1ccccc1)C(N)=O;26.44417
C=C(c1ccccc1)C(N=CCCc1ccccc1)C(=O)O;-16.82856
C=C(c1ccccc1)C(NCCCC#N)C(N)=O;16.91931
C=C(c1ccccc1)C(N=CCCC#N)C(N)=O;35.06077
C=C(c1ccccc1)C(NCCCC#N)C(=O)O;-29.61129
C=C(c1ccccc1)C(N=CCCC#N)C(=O)O;-9.11989
C=C(c1ccccc1)C(N=C(C)C)C(N)=O;2.41405
C=C(c1ccccc1)C(N=CCCC(N)=O)C(N)=O;-41.1797
C=C(c1ccccc1)C(N=CCCC(N)=O)C(=O)O;-84.49639
C=C(c1ccccc1)C(N=C(C)C)C(=O)O;-41.88541
C=C(c1ccccc1)C(N=CCCC(=O)O)C(N)=O;-84.20549
C=C(c1ccccc1)C(N=CCCC(=O)O)C(=O)O;-129.58488
C=C(c1ccccc1)C(NCCCNC(=N)N)C(N)=O;14.20404
C=C(c1ccccc1)C(N=CCCNC(=N)N)C(N)=O;24.02505
C=C(c1ccccc1)C(N=CC(C)NC(=N)N)C(N)=O;27.97983
C=C(c1ccccc1)C(N=CC(C)NC(=N)N)C(=O)O;-13.29425
C=C(c1ccccc1)C(N=CCCNC(=N)N)C(=O)O;-19.15932
C=C(c1ccccc1)C(NCCCNC(=N)N)C(=O)O;-35.72699
C=C(c1ccccc1)C(NCCC#N)C(N)=O;19.62277
C=C(c1ccccc1)C(NC(C)C#N)C(N)=O;22.02158
C=C(c1ccccc1)C(NC=CC#N)C(N)=O;36.24332
C=C(c1ccccc1)C(NC(C)C#N)C(=O)O;-21.49398
C=C(c1ccccc1)C(NCCC#N)C(=O)O;-25.86963
C=C(c1ccccc1)C(NC=CC#N)C(=O)O;-9.91301
C=C(c1ccccc1)C(NCC)C(N)=O;-5.96999
C=C(c1ccccc1)C(N=CC)C(N)=O;9.0771
C=C(c1ccccc1)C(NC=CC(N)=O)C(N)=O;-36.01884
C=C(c1ccccc1)C(NCCC(N)=O)C(N)=O;-51.06626
C=C(c1ccccc1)C(NC(C)C(N)=O)C(N)=O;-52.25314
C=C(c1ccccc1)C(NC(CC(N)=O)C(N)=O)C(N)=O;-104.15821
C=C(c1ccccc1)C(NCCC(N)=O)C(N)=S;3.50126
C=C(c1ccccc1)C(NC=CC(N)=O)C(=O)O;-83.58101
C=C(c1ccccc1)C(NCCC(N)=O)C(=O)O;-97.95289
C=C(c1ccccc1)C(NCC)C(N)=S;48.81987
C=C(c1ccccc1)C(NCCC(N)=S)C(N)=O;2.84871
C=C(c1ccccc1)C(NCCC(N)=S)C(N)=S;56.65185
C=C(c1ccccc1)C(NC(C)C(N)=S)C(N)=S;59.02303
C=C(c1ccccc1)C(NCCC(N)=S)C(=O)O;-44.3688
C=C(c1ccccc1)C(NC(C)=C(O)C#N)C(N)=O;-6.31313
C=C(c1ccccc1)C(NC(C)=C(O)C#N)C(=O)O;-53.25115
C=C(c1ccccc1)C(N=CC(C)=O)C(N)=O;-21.88231
C=C(c1ccccc1)C(N=CC(C)O)C(N)=O;-36.79071
C=C(c1ccccc1)C(N=C(C)CO)C(N)=O;-39.3959
C=C(c1ccccc1)C(NCC(C)O)C(N)=O;-62.57354
C=C(c1ccccc1)C(NC(CCO)=C(O)C#N)C(N)=O;-60.41727
C=C(c1ccccc1)C(NC(CCO)=C(O)C#N)C(=O)O;-97.98228
C=C(c1ccccc1)C(NCC(C)O)C(=O)O;-103.386
C=C(c1ccccc1)C(N=CC(C)=O)C(=O)O;-64.96559
C=C(c1ccccc1)C(N=CC(C)O)C(=O)O;-80.0485
C=C(c1ccccc1)C(N=C(C)CO)C(=O)O;-83.01741
C=C(c1ccccc1)C(N=CC(CO)NC(=N)N)C(N)=O;-17.55253
C=C(c1ccccc1)C(N=CC(CO)NC(=N)N)C(=O)O;-56.63531
C=C(c1ccccc1)C(N=CC)C(=O)O;-34.93426
C=C(c1ccccc1)C(NCC)C(=O)O;-53.48
C=C(c1ccccc1)C(N=C(C)C(=O)O)C(N)=O;-77.22593
C=C(c1ccccc1)C(NCCC(=O)O)C(N)=O;-99.35976
C=C(c1ccccc1)C(NCCC(=O)O)C(N)=S;-37.01659
C=C(c1ccccc1)C(N=C(C)C(=O)O)C(=O)O;-120.49222
C=C(c1ccccc1)C(NCCC(=O)O)C(=O)O;-142.76278
C=C(c1ccccc1)C(NC(C)C(=O)O)C(=O)O;-145.20889
C=C(c1ccccc1)C(NC(=CC(=O)O)C(=O)O)C(N)=O;-172.51843
C=C(c1ccccc1)C(NC(CC(=O)O)C(=O)O)C(N)=O;-190.59639
C=C(c1ccccc1)C(NC(=CC(=O)O)C(=O)O)C(=O)O;-215.69105
C=C(c1ccccc1)C(NC(CC(=O)O)C(=O)O)C(=O)O;-237.77413
C=C(c1ccccc1)C(N=CCCSC)C(N)=O;14.21039
C=C(c1ccccc1)C(NCCCSC)C(N)=O;-5.51792
C=C(c1ccccc1)C(N=CCCSC)C(=O)O;-30.51234
C=C(c1ccccc1)C(NCCCSC)C(=O)O;-54.37377
C=C(c1ccccc1)C(NC(C#N)CCC#N)C(N)=O;47.26353
C=C(c1ccccc1)C(NC(C#N)CCC#N)C(=O)O;1.05089
C=C(c1ccccc1)C(NC(C#N)C(C)O)C(N)=O;-27.93783
C=C(c1ccccc1)C(NC(C#N)C(C)=O)C(N)=O;-8.73443
C=C(c1ccccc1)C(NC(C#N)C(C)=O)C(=O)O;-57.12688
C=C(c1ccccc1)C(NC(C#N)C(C)O)C(=O)O;-71.28723
C=C(c1ccccc1)C(NC(C#N)CCSC)C(N)=O;22.93569
C=C(c1ccccc1)C(NC(C#N)CCSC)C(=O)O;-21.83164
C=C(c1ccccc1)C(NC(C#N)CNC(=N)N)C(N)=O;43.40752
C=C(c1ccccc1)C(NC(C#N)CNC(=N)N)C(=O)O;2.60959
C=C(c1ccccc1)C(NCCNC(=N)N)C(N)=O;15.87068
C=C(c1ccccc1)C(N=CCNC(=N)N)C(N)=O;31.8619
C=C(c1ccccc1)C(NCCNC(=N)N)C(N)=S;70.51122
C=C(c1ccccc1)C(N=CCNC(=N)N)C(=O)O;-12.37717
C=C(c1ccccc1)C(NCCNC(=N)N)C(=O)O;-25.3212
C=C(c1ccccc1)C(NCC#N)C(N)=O;26.00938
C=C(c1ccccc1)C(NC(C#N)C(=O)CCO)C(N)=O;-62.16092
C=C(c1ccccc1)C(NC(C#N)C(=O)CCO)C(=O)O;-101.79935
C=C(c1ccccc1)C(NC(C#N)CO)C(N)=O;-17.60283
C=C(c1ccccc1)C(NC(C#N)C(O)CO)C(N)=O;-70.22631
C=C(c1ccccc1)C(NC(C#N)C(O)CO)C(=O)O;-112.58437
C=C(c1ccccc1)C(NC(C#N)CO)C(=O)O;-68.9026
C=C(c1ccccc1)C(NCC#N)C(=O)O;-21.50919
C=C(c1ccccc1)C(NC(C#N)C(=O)O)C(N)=O;-56.87261
C=C(c1ccccc1)C(NC(C#N)C(=O)O)C(=O)O;-102.93743
C=C(c1ccccc1)C(NCC(N)=O)C(N)=O;-50.74438
C=C(c1ccccc1)C(NC(C(N)=O)C(N)=O)C(N)=O;-95.84993
C=C(c1ccccc1)C(NC(C(N)=O)C(N)=O)C(N)=S;-40.62781
C=C(c1ccccc1)C(NCC(N)=O)C(N)=S;5.57555
C=C(c1ccccc1)C(NC(C(N)=O)C(O)CO)C(N)=O;-147.44904
C=C(c1ccccc1)C(NCC(N)=O)C(=O)O;-94.52603
C=C(c1ccccc1)C(NC(C(N)=O)C(=O)O)C(N)=O;-135.64784
C=C(c1ccccc1)C(NCC(N)=O)C(=S)NCC#N;41.7984
C=C(c1ccccc1)C(NCC(N)=S)C(N)=O;5.97003
C=C(c1ccccc1)C(NCC(N)=S)C(N)=S;61.75602
C=C(c1ccccc1)C(NCC(N)=S)C(=O)O;-39.93329
C=C(c1ccccc1)C(N=CC(=O)CCO)C(N)=O;-72.19233
C=C(c1ccccc1)C(N=CC(=O)CC(O)CO)C(N)=O;-114.06865
C=C(c1ccccc1)C(N=CC(=O)CC(O)CO)C(=O)O;-163.39704
C=C(c1ccccc1)C(N=CC(=O)CCO)C(=O)O;-109.35219
C=C(c1ccccc1)C(N=C(COC)C(=O)O)C(N)=O;-111.51717
C=C(c1ccccc1)C(N=CC(O)CNC(=N)N)C(N)=O;-14.1503
C=C(c1ccccc1)C(N=CC(O)CNC(=N)N)C(=O)O;-68.55448
C=C(c1ccccc1)C(N=CCO)C(N)=O;-32.87163
C=C(c1ccccc1)C(NCCO)C(N)=O;-56.30767
C=C(c1ccccc1)C(NC(CO)C(N)=O)C(N)=O;-98.47531
C=C(c1ccccc1)C(NCCO)C(N)=S;1.46557
C=C(c1ccccc1)C(NC(CO)C(N)=S)C(N)=S;12.30827
C=C(c1ccccc1)C(N=CC(O)C(O)C(C)O)C(N)=O;-140.07032
C=C(c1ccccc1)C(N=CC(O)C(O)C(C)O)C(=O)O;-179.7852
C=C(c1ccccc1)C(NCC(O)CO)C(N)=O;-100.00421
C=C(c1ccccc1)C(NC(CO)CO)C(N)=O;-102.37972
C=C(c1ccccc1)C(N=CC(O)CO)C(N)=O;-81.88464
C=C(c1ccccc1)C(N=C(CO)CO)C(N)=O;-82.78547
C=C(c1ccccc1)C(NCC(O)CO)C(N)=S;-45.25209
C=C(c1ccccc1)C(N=CC(O)C(O)CO)C(N)=O;-134.16927
C=C(c1ccccc1)C(N=C(CO)C(O)CO)C(N)=O;-136.82355
C=C(c1ccccc1)C(NCC(O)C(O)CO)C(N)=O;-154.00464
C=C(c1ccccc1)C(NC(CO)C(O)CO)C(N)=O;-158.6993
C=C(c1ccccc1)C(NCC(O)C(O)CO)C(N)=S;-91.8065
C=C(c1ccccc1)C(N=CC(O)C(O)CO)C(=O)O;-174.22642
C=C(c1ccccc1)C(N=C(CO)C(O)CO)C(=O)O;-176.00915
C=C(c1ccccc1)C(NCC(O)C(O)CO)C(=O)O;-197.05655
C=C(c1ccccc1)C(NC(CO)C(O)CO)C(=O)O;-201.14104
C=C(c1ccccc1)C(N=CC(O)CO)C(=O)O;-124.63515
C=C(c1ccccc1)C(N=C(CO)CO)C(=O)O;-126.08105
C=C(c1ccccc1)C(NC(CO)CO)C(=O)O;-145.7865
C=C(c1ccccc1)C(NCC(O)CO)C(=O)O;-149.41007
C=C(c1ccccc1)C(N=CCO)C(=O)O;-75.8923
C=C(c1ccccc1)C(NCCO)C(=O)O;-99.71843
C=C(c1ccccc1)C(NC(CO)C(=O)O)C(=O)O;-189.76652
C=C(c1ccccc1)C(NCC(=O)NCC(N)=O)C(N)=O;-93.35094
C=C(c1ccccc1)C(NCC(=O)NCC(=O)O)C(N)=O;-138.59732
C=C(c1ccccc1)C(N=CC(=O)O)C(N)=O;-70.53938
C=C(c1ccccc1)C(NCC(=O)O)C(N)=O;-95.66902
C=C(c1ccccc1)C(NCC(=O)O)C(N)=S;-40.59895
C=C(c1ccccc1)C(NC(C(=O)O)C(O)CO)C(=O)O;-238.79508
C=C(c1ccccc1)C(N=CC(=O)O)C(=O)O;-113.31235
C=C(c1ccccc1)C(NCC(=O)O)C(=O)O;-140.49804
C=C(c1ccccc1)C(NCC(=O)O)C(=S)NCC#N;-10.12973
C=C(c1ccccc1)C(N)C#N;70.96636
C=C(c1ccccc1)C(N=CN)C(N)=O;12.28546
C=C(c1ccccc1)C(NC=N)C(N)=O;15.29849
C=C(c1ccccc1)C(NC=N)C(=O)O;-28.35123
C=C(c1ccccc1)C(N=CN)C(=O)O;-32.21483
C=C(c1ccccc1)C(N)C(N)=O;-4.27814
C=C(c1ccccc1)C(NC(N)=O)C(N)=O;-51.17888
C=C(c1ccccc1)C(NC(N)=O)C(N)=S;3.93608
C=C(c1ccccc1)C(NC(N)=O)C(=O)O;-96.78234
C=C(c1ccccc1)C(NC(N)=O)C(=O)OC;-88.51364
C=C(c1ccccc1)C(NC(N)=O)C(=O)OC(C)C(N)=O;-141.5555
C=C(c1ccccc1)C(NC(N)=O)C(=O)OCC(N)=O;-137.04743
C=C(c1ccccc1)C(NC(N)=O)C(=S)NCCC#N;26.43445
C=C(c1ccccc1)C(NC(N)=O)C(=S)NCC#N;37.22224
C=C(c1ccccc1)C(NC(N)=O)C(=S)NCC(N)=O;-39.04205
C=C(c1ccccc1)C(NC(N)=O)C(=S)NCC(=O)O;-85.50865
C=C(c1ccccc1)C(N)C(N)=S;52.15043
C=C(c1ccccc1)C(NC(=O)C(C)N)C(N)=O;-53.03174
C=C(c1ccccc1)C(NC(=O)C(C)N)C(=O)O;-96.83945
C=C(c1ccccc1)C(NC(=O)CN=CCCC#N)C(N)=O;-11.67161
C=C(c1ccccc1)C(NC(=O)CN=CCCC#N)C(=O)O;-49.98058
C=C(c1ccccc1)C(NC(=O)CN=C(C)C)C(N)=O;-43.74564
C=C(c1ccccc1)C(NC(=O)CN=C(C)C)C(=O)O;-87.97484
C=C(c1ccccc1)C(NC(=O)CNCCC#N)C(N)=O;-22.31591
C=C(c1ccccc1)C(NC(=O)CNC=CC#N)C(N)=O;-4.24549
C=C(c1ccccc1)C(NC(=O)CNC=CC#N)C(=O)O;-52.73685
C=C(c1ccccc1)C(NC(=O)CNCCC#N)C(=O)O;-68.35598
C=C(c1ccccc1)C(NC(=O)CN=CC)C(N)=O;-36.81181
C=C(c1ccccc1)C(NC(=O)CN=CC(C)=O)C(N)=O;-63.47446
C=C(c1ccccc1)C(NC(=O)CN=CC(C)O)C(N)=O;-84.69469
C=C(c1ccccc1)C(NC(=O)CN=C(C)CO)C(N)=O;-86.64534
C=C(c1ccccc1)C(NC(=O)CN=CC(C)=O)C(=O)O;-106.60963
C=C(c1ccccc1)C(NC(=O)CN=C(C)CO)C(=O)O;-129.65037
C=C(c1ccccc1)C(NC(=O)CN=CC(C)O)C(=O)O;-130.14645
C=C(c1ccccc1)C(NC(=O)CN=CC)C(=O)O;-79.9042
C=C(c1ccccc1)C(NC(=O)CNCC#N)C(N)=O;-16.97535
C=C(c1ccccc1)C(NC(=O)CNCC#N)C(=O)O;-62.33413
C=C(c1ccccc1)C(NC(=O)CNCC(N)=O)C(N)=O;-96.05074
C=C(c1ccccc1)C(NC(=O)CN=CCO)C(N)=O;-75.33841
C=C(c1ccccc1)C(NC(=O)CN=CCO)C(=O)O;-125.67033
C=C(c1ccccc1)C(NC(=O)CN=CC(=O)O)C(N)=O;-115.38026
C=C(c1ccccc1)C(NC(=O)CN=CC(=O)O)C(=O)O;-158.76493
C=C(c1ccccc1)C(NC(=O)CNC(C)=S)C(N)=O;-41.72436
C=C(c1ccccc1)C(NC(=O)CNC(C)=S)C(=O)O;-85.17742
C=C(c1ccccc1)C(NC(=O)CNC(=N)N)C(N)=O;-30.50721
C=C(c1ccccc1)C(NC(=O)CNC(=N)N)C(N)=S;23.81959
C=C(c1ccccc1)C(NC(=O)CNC(=N)N)C(=O)O;-72.56247
C=C(c1ccccc1)C(NC(=O)CN)C(N)=O;-49.52904
C=C(c1ccccc1)C(NC(=O)CNC(N)=O)C(N)=O;-97.93574
C=C(c1ccccc1)C(NC(=O)CNC(N)=O)C(N)=S;-41.6666
C=C(c1ccccc1)C(NC(=O)CNC(N)=O)C(=O)O;-144.29649
C=C(c1ccccc1)C(NC(=O)CN)C(N)=S;7.02424
C=C(c1ccccc1)C(NC(=O)CNC(=O)CN)C(N)=O;-95.43212
C=C(c1ccccc1)C(NC(=O)CNC(=O)CN)C(=O)O;-138.0358
C=C(c1ccccc1)C(NC(=O)CNC=O)C(N)=O;-87.50753
C=C(c1ccccc1)C(NC(=O)C(N)CO)C(N)=O;-95.69846
C=C(c1ccccc1)C(NC(=O)CNC=O)C(N)=S;-33.29619
C=C(c1ccccc1)C(NC(=O)CNC=O)C(=O)O;-135.9522
C=C(c1ccccc1)C(NC(=O)C(N)CO)C(=O)O;-144.18063
C=C(c1ccccc1)C(NC(=O)CN)C(=O)O;-93.32577
C=C(c1ccccc1)C(NC=O)C(N)=O;-44.13966
C=C(c1ccccc1)C(NC=O)C(N)=S;10.20547
C=C(c1ccccc1)C(NC=O)C(=O)O;-91.34412
C=C(c1ccccc1)C(N)C(=O)O;-50.06556
C=C(c1ccccc1)C(O)c1nc(N)nc(NCCC#N)n1;61.20438
C=C(c1ccccc1)C(O)c1nc(N)nc(NC(C)C#N)n1;65.68615
C=C(c1ccccc1)C(O)c1nc(N)nc(NCC#N)n1;71.91985
C=C(c1ccccc1)C(O)c1nc(N)nc(N)n1;39.02262
C=C(c1ccccc1)C(O)C(C=NCCC#N)CNC(=N)N;50.00729
C=C(c1ccccc1)C(O)C(C=NC(C)C#N)CNC(=N)N;51.5481
C=C(c1ccccc1)C(O)C(C=NCC#N)CNC(=N)N;53.17489
C=C(c1ccccc1)C(O)C(CNC(=N)N)C(N)C#N;35.80888
C=C(c1ccccc1)C(O)C(CNC(=N)N)C(O)C#N;-15.31685
C=C(c1ccccc1)C(O)C(C=O)Cc1ccccc1;-28.42829
C=C(c1ccccc1)C(O)C(C=O)CC(N)=O;-91.93381
C=C(c1ccccc1)C(O)C(C=O)CC(=O)O;-140.52147
C=C(c1ccccc1)C(O)C(C=O)CNC(=N)N;-27.96003
C=C(c1ccccc1)C(O)C(C=O)(CO)CNC(=N)N;-69.15817
C=C(c1ccccc1)C(O)CC(=O)C(=O)O;-128.4998
C=C(c1ccccc1)C(O)CC(=O)O;-110.43094
C=C(c1ccccc1)C(O)C(C(=O)OC)C(=O)C(=O)OC;-201.50618
C=C(c1ccccc1)C(O)C(C(=O)O)C(N)C(=O)O;-194.80864
C=C(c1ccccc1)C(O)C(C(=O)O)C(=O)C(=O)O;-217.59394
C=C(c1ccccc1)C(O)C(C(=O)O)C(=O)O;-195.19012
C=C(c1ccccc1)C(O)C#N;22.96593
C=C(c1ccccc1)C(O)C(N)=O;-52.2552
C=C(c1ccccc1)C(O)C(N)=S;3.2175
C=C(c1ccccc1)C(O=C(O)CCNCCC(=O)O;-190.38223
C=C(c1ccccc1)C(O)(CO)C(C(=O)O)C(=O)C(=O)O;-263.46818
C=C(c1ccccc1)C(O)C(=O)Nc1cc[nH]c(=O)n1;-67.8021
C=C(c1ccccc1)C(O)C(=O)Nc1ncc(C)o1;-57.72773
C=C(c1ccccc1)C(O)C(=O)Nc1ncc(CO)o1;-96.03293
C=C(c1ccccc1)C(O)C(=O)Nc1ncco1;-52.47695
C=C(c1ccccc1)C(O)C(=O)N(c1ncco1)C(C)C#N;-16.64802
C=C(c1ccccc1)C(O)C(=O)Nc1nc(CO)co1;-97.51727
C=C(c1ccccc1)C(O)C(=O)Nc1ncnc2[nH]cnc12;17.4296
C=C(c1ccccc1)C(O)C(=O)Nc1[nH]cnc1C;-22.45999
C=C(c1ccccc1)C(O)C(=O)Nc1[nH]cnc1CC#N;7.99024
C=C(c1ccccc1)C(O)C(=O)Nc1[nH]cnc1C#N;15.69131
C=C(c1ccccc1)C(O)C(=O)Nc1[nH]cnc1C(N)=O;-66.57301
C=C(c1ccccc1)C(O)C(=O)Nc1[nH]cnc1CO;-67.12902
C=C(c1ccccc1)C(O)C(=O)Nc1[nH]cnc1C(=O)O;-107.40578
C=C(c1ccccc1)C(O)C(=O)Nc1[nH]c(=O)[nH]c1C#N;-41.65294
C=C(c1ccccc1)C(O)C(=O)N(CC)c1cc[nH]c(=O)n1;-68.03842
C=C(c1ccccc1)C(O)C(=O)N(CC)c1ncco1;-49.66476
C=C(c1ccccc1)C(O)C(=O)N(CC)c1[nH]cnc1C#N;15.77503
C=C(c1ccccc1)C(O)C(=O)N(CC)C(C)C#N;-25.70858
C=C(c1ccccc1)C(O)C(=O)N(CC)CCC#N;-27.48681
C=C(c1ccccc1)C(O)C(=O)N(CC)CCC(N)=O;-101.96503
C=C(c1ccccc1)C(O)C(=O)N(CC)CCC(=O)O;-148.89741
C=C(c1ccccc1)C(O)C(=O)N(CC)CC#N;-21.04931
C=C(c1ccccc1)C(O)C(=O)N(CC)C(C#N)CC#N;8.5168
C=C(c1ccccc1)C(O)C(=O)N(CC)C(C#N)CO;-70.85607
C=C(c1ccccc1)C(O)C(=O)N(CC)CC(N)=O;-98.14093
C=C(c1ccccc1)C(O)C(=O)N(CC)CC(=O)O;-144.71178
C=C(c1ccccc1)C(O)C(=O)NC(C)C#N;-26.00074
C=C(c1ccccc1)C(O)C(=O)NCCC#N;-29.27139
C=C(c1ccccc1)C(O)C(=O)N(CCC#N)c1ncco1;-23.76365
C=C(c1ccccc1)C(O)C(=O)N(CCC#N)CCC#N;1.50207
C=C(c1ccccc1)C(O)C(=O)N(CCC#N)C(C)C#N;5.06022
C=C(c1ccccc1)C(O)C(=O)N(CCC#N)C(C#N)CO;-36.99086
C=C(c1ccccc1)C(O)C(=O)N(CCC#N)CC(N)=O;-66.00669
C=C(c1ccccc1)C(O)C(=O)N(CCC#N)CC(=O)O;-112.05796
C=C(c1ccccc1)C(O)C(=O)NC(C)C(N)=O;-102.12149
C=C(c1ccccc1)C(O)C(=O)NCCC(N)=O;-106.7587
C=C(c1ccccc1)C(O)C(=O)NC(CC(N)=O)C(N)=O;-153.62797
C=C(c1ccccc1)C(O)C(=O)NC(C)C(=O)O;-147.22163
C=C(c1ccccc1)C(O)C(=O)NCCC(=O)O;-147.77203
C=C(c1ccccc1)C(O)C(=O)NC(CC(=O)O)C(=O)O;-240.71532
C=C(c1ccccc1)C(O)C(=O)NCC#N;-20.7013
C=C(c1ccccc1)C(O)C(=O)N(CC#N)c1ncco1;-12.29329
C=C(c1ccccc1)C(O)C(=O)N(CC#N)c1[nH]cnc1C;15.60254
C=C(c1ccccc1)C(O)C(=O)N(CC#N)C(C)C#N;12.26532
C=C(c1ccccc1)C(O)C(=O)NC(C#N)CCC#N;2.4807
C=C(c1ccccc1)C(O)C(=O)N(CC#N)CCC#N;8.49361
C=C(c1ccccc1)C(O)C(=O)N(CC#N)C(C)C(N)=O;-63.89925
C=C(c1ccccc1)C(O)C(=O)N(CC#N)CCC(N)=O;-65.13747
C=C(c1ccccc1)C(O)C(=O)N(CC#N)C(C)C(=O)O;-108.42365
C=C(c1ccccc1)C(O)C(=O)N(CC#N)CCC(=O)O;-111.6517
C=C(c1ccccc1)C(O)C(=O)N(CC#N)CC#N;17.31027
C=C(c1ccccc1)C(O)C(=O)NC(C#N)CC#N;7.67582
C=C(c1ccccc1)C(O)C(=O)N(CC#N)C(C#N)CC#N;43.10568
C=C(c1ccccc1)C(O)C(=O)N(CC#N)C(C#N)CO;-33.47449
C=C(c1ccccc1)C(O)C(=O)N(CC#N)C(C#N)C(=O)O;-63.69437
C=C(c1ccccc1)C(O)C(=O)N(CC#N)CC(N)=O;-61.99212
C=C(c1ccccc1)C(O)C(=O)N(CC#N)CCO;-66.01595
C=C(c1ccccc1)C(O)C(=O)NC(C#N)C(C)O;-72.98964
C=C(c1ccccc1)C(O)C(=O)N(CC#N)CC(O)CO;-116.75309
C=C(c1ccccc1)C(O)C(=O)N(CC#N)CC(=O)O;-105.10005
C=C(c1ccccc1)C(O)C(=O)NC(C#N)CCSC;-24.95719
C=C(c1ccccc1)C(O)C(=O)NC(C#N)CNC(=N)N;0.626
C=C(c1ccccc1)C(O)C(=O)NC(C#N)CO;-69.04761
C=C(c1ccccc1)C(O)C(=O)NC(C#N)(CO)CO;-114.16953
C=C(c1ccccc1)C(O)C(=O)NC(C#N)C(O)CO;-117.48601
C=C(c1ccccc1)C(O)C(=O)NCC(N)=O;-97.06388
C=C(c1ccccc1)C(O)C(=O)N(CC(N)=O)C(C)C#N;-68.99576
C=C(c1ccccc1)C(O)C(=O)N(CC(N)=O)CC(N)=O;-147.16968
C=C(c1ccccc1)C(O)C(=O)N(CC(N)=O)CC(=O)O;-183.29551
C=C(c1ccccc1)C(O)C(=O)NC(C(N)=O)C(O)CO;-193.77234
C=C(c1ccccc1)C(O)C(=O)N(CCO)c1ncco1;-95.82453
C=C(c1ccccc1)C(O)C(=O)N(CCO)C(C)C#N;-70.91249
C=C(c1ccccc1)C(O)C(=O)N(CCO)CCC#N;-75.64265
C=C(c1ccccc1)C(O)C(=O)N(CCO)CCC(N)=O;-147.34612
C=C(c1ccccc1)C(O)C(=O)N(CCO)CCC(=O)O;-193.24633
C=C(c1ccccc1)C(O)C(=O)N(CCO)C(C#N)CC#N;-35.88993
C=C(c1ccccc1)C(O)C(=O)N(CCO)C(C#N)CO;-117.19933
C=C(c1ccccc1)C(O)C(=O)N(CCO)CC(N)=O;-150.18845
C=C(c1ccccc1)C(O)C(=O)N(CCO)CC(=O)O;-187.72188
C=C(c1ccccc1)C(O)C(=O)NC(CO)C(N)=O;-146.36282
C=C(c1ccccc1)C(O)C(=O)NC(CO)CO;-152.43759
C=C(c1ccccc1)C(O)C(=O)NC(CO)C(O)CO;-199.60118
C=C(c1ccccc1)C(O)C(=O)NC(CO)C(=O)O;-193.13631
C=C(c1ccccc1)C(O)C(=O)NCC(=O)NCCC#N;-73.66133
C=C(c1ccccc1)C(O)C(=O)NCC(=O)NC(C)C#N;-74.04256
C=C(c1ccccc1)C(O)C(=O)NCC(=O)NCC#N;-64.85293
C=C(c1ccccc1)C(O)C(=O)NCC(=O)NCC(N)=O;-144.17412
C=C(c1ccccc1)C(O)C(=O)NCC(=O)NCC(=O)O;-191.47194
C=C(c1ccccc1)C(O)C(=O)NCC(=O)O;-142.58365
C=C(c1ccccc1)C(O)C(=O)N(CC(=O)O)C(C)C#N;-113.77141
C=C(c1ccccc1)C(O)C(=O)N(CC(=O)O)CC(=O)O;-227.22273
C=C(c1ccccc1)C(O)C(=O)NC(C(=O)O)C(O)CO;-242.86012
C=C(c1ccccc1)C(O)C(=O)O;-98.51043
C=C(c1ccccc1)C(O)C(=O)OC;-90.38186
C=C(c1ccccc1)C(O)C(=O)OCc1cnc[nH]1;-65.05768
C=C(c1ccccc1)C(O)C(=O)OCC1NC(=O)N=C1N;-108.16145
