smiles;Kin (i.e. how many reactions give this molecule);Kout (i.e. how many reactions use this molecule as substrate)
N=C(N)NC(Cc1ccccc1)C(=O)NC(CO)C(N)=O;2;1
N#CCNCC(N)=O;3;15
N#CC(NCC(=O)NC(CC(N)=O)C(N)=O)C(=O)O;1;7
CC(O)C(=O)NC(C(N)=O)C(O)C(O)CO;1;1
CSC(=O)C(C)OC(=O)CCNC(=N)NC(=N)N;1;1
N#CCCN(CC(=O)O)C(=O)CN(CC#N)C(=O)CN;1;33
COC(=O)CN(CC#N)C(=N)NC(=N)N;1;15
CCN(CC#N)C(=O)CCN(CCC#N)C(N)=O;1;1
CSCCC=C(C=NC(C#N)C(=O)O)c1ccccc1;1;1
N#CCc1nc[nH]c1N(C=O)C(C#N)Cc1ccccc1;1;4
C=CC=C(c1ccccc1)C(C#N)NC=CC(N)=O;1;1
Cc1cnc(N=CC(CO)NC(=N)N)o1;1;1
CSCCC(=O)N(CCC(=O)O)CC(O)CO;1;4
C=C(c1ccccc1)C(NCCC(N)=S)C(=O)O;1;3
N#CCN(CC(=O)NCCC(=O)OCC(N)=O)C(=N)N;1;3
N=C(N)NCC(=O)N(CC(N)=O)CC(=O)OCC(N)=O;2;1
N#CCCN(CCC(=O)O)C(=O)CCNC(=N)N;1;3
NC(=S)CCN(CC(=O)O)C(=O)CNCC(O)CO;1;0
NC(=O)NCC(=O)NC(CC(N)=S)C(N)=S;1;2
CC(=NC(C#N)C(O)C(O)CO)C(=O)O;1;0
N#CC(CO)(N=CCO)C(O)CO;1;1
N#CCN(c1nc(N)nc(CNC(N)=O)n1)c1ncco1;10;19
C=CC(C#N)N(CCC#N)CC(=O)O;1;7
NC(=S)C(Cc1ccccc1)NCC(O)CO;1;3
CC(N=C(CO)Cc1ccccc1)C(=O)O;1;0
N#CCCN(CC#N)C(C#N)COC(=O)CCNC(N)=O;1;5
CC(CO)=NCC(=O)N(CCC#N)C(C)C#N;1;0
COC(=O)C=C(Nc1nc(CO)co1)C(=O)OC;1;18
N#CC(O)=C(CCO)Nc1nc(=O)[nH]c2[nH]cnc12;1;1
COC(=O)CNC(=N)NC(=N)N;1;15
CC(O)C(C#N)N=CC(O)C(O)C(C)O;1;1
O=c1[nH]c2ncnc(N=CC(O)C(O)CO)c2[nH]1;1;1
N#CCCN(CC(=O)NC(CNC(=N)N)C(=O)O)C(N)=O;1;1
CCNc1nc2[nH]cnc2c(=O)[nH]1;1;6
CC(NC(=O)CN(CCC#N)CCC#N)C(N)=O;1;2
N#CC=Cn1cnc(C(=O)OCC(N)=O)c1NC(N)=O;1;0
O=C(O)c1nc[nH]c(=O)c1N=C(CO)Cc1ccccc1;1;0
CC(C#N)NC(=O)CCN(C(=N)N)C(C)C#N;2;2
N#CCCC=NCC(=O)N(CCC#N)CC(=O)NCC#N;1;1
N#CCN(CC(N)=O)C(=N)NC(=N)N;1;1
CC(O)C(=O)OCCN(CCC#N)c1[nH]cnc1C(N)=O;1;11
CC(C#N)N(CC(=O)O)C(=O)CN(CC#N)C(N)=O;1;5
C=CC=NCC(=O)N(CCC#N)CCc1ccccc1;1;1
NC(=O)CCN(CCO)CC(N)=O;2;3
CC(C#N)N(CCC(N)=O)C(=O)CN(CC(N)=O)C(=N)N;1;2
C=CC(=O)OCC(C#N)NC(=O)CNC(N)=O;1;8
NC(=O)NCC(=O)NCC(=O)OCC1NC(=O)N=C1N;1;0
CSCCCNCCC#N;1;15
CC(C#N)N(C(=O)CCNC(N)=O)c1ncco1;1;3
N#CCCN(CC#N)C(=O)CNCCCNC(=N)N;1;7
N#CCCN(CC(N)=O)C(C#N)CO;1;5
C=C(c1ccccc1)C(C#N)N(C=CC#N)CCO;1;0
CC(C#N)NCC(=O)NC(C#N)CC#N;1;14
N#Cc1nc[nH]c1NC(=O)CN(CCC(N)=O)CC(N)=O;1;7
C=Cc1nc(N)nc(N(CCC#N)CC(=O)O)n1;12;19
CCN(C(=N)N)C(Cc1ccccc1)C(N)=S;1;4
N#CCCN(CC#N)CCC(=O)Nc1ncc(CO)o1;1;6
N#CC(CO)NCC(=O)N(CC(=O)O)CC(=O)O;1;13
N#CC(CCNC(=N)N)NC(=O)CNC(=N)N;1;2
NC(=O)CN(C(=O)CNC(N)=O)c1ncco1;1;2
N#CCCN(CC#N)CC(=O)N(CC#N)CC#N;2;4
N#CC(N=CCCNC(=N)N)C(O)C(O)C(O)CO;1;1
CSC(=O)C(C)N=CCNC(=N)N;1;0
N#CCCN(C=O)CCC(=O)N(CCC#N)c1ncco1;1;5
O=C(O)C(=O)C(=C(CO)CO)c1ccccc1;1;2
NC(=O)c1[nH]c(=O)[nH]c1NC=O;1;2
N#CCCN(CCC#N)CC(=O)N(CCC#N)CC(=O)O;2;8
O=C(O)Cn1c(=O)[nH]c(=O)c2nc[nH]c21;4;6
CC(O)C=Nc1[nH]c(=O)n(CCC(N)=O)c1C(N)=O;1;1
N#CCCCNc1cc[nH]c(=O)n1;1;10
CC(N)C(=O)NCC(=O)N(CC#N)CCC(=O)O;1;31
CC(C#N)NC(=O)CCN(CCC#N)C(C#N)CO;2;6
O=CC(O)CCC(O)C=O;2;27
O=C(O)C(N=CCCc1ccccc1)C(O)C(O)CO;1;1
N#CCCN(CCC(O)C#N)c1ncnc2[nH]cnc12;1;10
N#CCCNC(=O)CNC(=O)CN=CC(O)CO;1;1
N#Cc1nc[nH]c1N1C(=O)N=C(N)C1CO;1;4
N=C(N)NCC=Nc1[nH]cnc1C(=O)O;1;1
CCN(CC(N)=O)C(=O)CCN(CCC#N)C(N)=O;1;1
NC(=O)c1nc[nH]c1NC(C(N)=S)C(O)CO;1;3
N=C(N)NCC(=O)Nc1ncnc2[nH]cnc12;1;2
NC(=O)NCC(=O)NCC(=O)NCC(=O)O;5;4
CC=C(c1ccccc1)C(C#N)N(CC#N)C(=O)C(N)CO;1;33
CC(C(=O)O)N(CCC#N)C(N)=O;1;5
N#CCCN(C(=O)CNC(=N)NC(=N)N)C(CO)C(N)=O;1;1
N#CC(N)CCC(C#N)NC(=O)C(N)CO;1;32
COC(=O)CCN(CC#N)C(=O)CN=CC(C)NC(=N)N;1;14
CC(C#N)N(CC(N)=O)C(=O)CN1CCC(N)=NC1=O;2;0
CC=C(C=NCC(=O)N(CCO)CCC#N)c1ccccc1;1;1
C=CC(C#N)Nc1[nH]c(=O)[nH]c1C#N;1;6
CSCCC(=O)NCC(=O)NC(CC(N)=O)C(N)=O;2;0
CC(CO)=NCC(N)=O;1;0
N#CCC(C#N)NC(=O)CNC(=S)C(O)CO;1;1
O=C(O)C(Cc1ccccc1)NCCc1ccccc1;3;11
N#CC(NCCO)C(=CCO)c1ccccc1;1;10
NC(=O)c1nc[nH]c1N(CCO)C(N)=O;1;6
CC(C#N)N(CC(=O)NCCC#N)C(=N)N;1;2
NC(=O)C(CO)NCCC(=O)NC(CO)C(N)=O;3;9
NC(=O)Cc1nc[nH]c1NCCc1ccccc1;2;7
C=CC(C#N)N(C=CC#N)C(C)C#N;1;0
N#CCCNC(C(N)=O)C(O)C(O)CO;1;9
N#CCCC=NCC(=O)NCC(=O)NC(C#N)CO;1;1
CC(C#N)NC(=O)CCN(C=CC#N)C(C#N)CC#N;1;0
N#CCCNC(=O)CNCCC(=O)OCc1cnc[nH]1;1;14
C=CC(C#N)N(CCC#N)CC(=O)NCCC#N;1;4
NC(=O)CN(CC(O)C(O)CO)C(N)=O;1;1
Nc1[nH]cnc1CC(=S)NCC(=O)O;1;1
C=CC=NCC(=O)NCC#N;1;1
COC(=O)CC(NC(C#N)Cc1ccccc1)C(=O)OC;1;19
CC(C=Nc1ncc(Cc2ccccc2)o1)NC(=N)N;1;1
C=CC(O)C(C(=O)O)=C(NC(C(N)=O)C(N)=O)C(=O)O;1;0
C=CC=Nc1nc(C=C)nc(N(CCC#N)CCC#N)n1;1;1
N#CCN(CC#N)c1nc(N)nc(CCNC(N)=O)n1;9;17
COC(=O)C(=O)C(C(=O)OC)=C(C)CO;1;13
CSCCC(=O)NC(C#N)Cc1ccccc1;1;5
CC(=O)C=Nc1[nH]cnc1C(O)C(O)CO;1;1
O=c1nc(NC(CO)CO)cc[nH]1;1;6
N#CCCC(C#N)NC(=O)CN(CCC#N)CCC(N)=O;1;2
N#CCN(CC(=O)NC(CO)Cc1ccccc1)C(=N)N;1;4
N#CCCNc1ncnc2[nH]cnc12;3;10
N#CCN(C(=O)CNC(N)=O)c1[nH]cnc1C(N)=O;1;6
CCN(CC(=O)O)C(=O)CN=CC(=O)CCO;1;1
CC(NC(=O)CNC(=S)C(O)CO)C(=O)O;1;0
COC(=O)C(Cc1ccccc1)=NC(C#N)CC#N;1;16
CSCCC(=O)N(CC(=O)O)C(C#N)CO;1;6
N#CCCN(CCC#N)C(=O)CNC(C#N)C(=O)CCO;1;7
CC(C#N)N(C(=O)CNC(=N)NC(=N)N)C(C#N)CC#N;1;1
NCC(=O)N(CCc1ccccc1)CC(N)=S;1;4
NCC(=O)N(CCc1ccccc1)CC(N)=O;2;30
Cc1cnc(N=CCNC(=N)N)o1;1;1
N=C(N)NCC(O)C=Nc1[nH]cnc1CC(=O)O;1;1
CC(=O)C=NCC(=O)N(CCC#N)CCC(=O)O;1;1
O=C(O)CC(NCC(O)C(O)C(O)CO)C(=O)O;1;9
N#CCCNC(=O)CCN(C=O)CC(=O)NCCC#N;1;2
N#CCN(C(=O)CN1CC(N)=NC1=O)c1ncco1;2;3
NC(=O)CNCC(=O)NCC(=O)NCC(=O)O;1;11
CC(NCCC(=O)NCC(=O)NCC#N)C(=O)O;1;14
N#CCCN(C=O)CCC(=O)NC(C#N)Cc1ccccc1;1;3
COC(=O)CCN(CCC(N)=O)C(=O)CN;2;29
CC(C)=NCC(=O)N(CCC(=O)O)CC(=O)O;1;2
N=C(N)NC(C=NCC(=O)NC(CO)C(N)=O)CO;1;1
NC(=O)CNC(=O)CNC(=O)CCNC(N)=O;1;0
CC(O)C(=O)N(CCC(=O)O)CC(O)Cc1ccccc1;1;5
NC1=NC(=O)N(CC(=O)Nc2[nH]c(=O)[nH]c2C(=O)O)CC1;2;3
C=Cc1nc(N)nc(NCC(=O)NC(C)C#N)n1;10;4
C=CC(C#N)N(CCC#N)C(=O)CN(CC(N)=O)C(N)=O;1;1
CC(NCCC(=O)NCC#N)C(=O)O;1;14
N=C(N)NCC(O)C(=S)NCC(=O)NCCC(N)=O;1;0
N#CCCN(CCc1ccccc1)CC(=O)OCC(N)=O;1;7
N#CCC(C#N)N(C=O)C(C#N)CNC(=N)N;1;1
NC(=O)CCNCC(=O)O;2;13
N#CC(CO)NCCC(=O)NC(C#N)Cc1ccccc1;1;14
NC(=O)CC(C(N)=O)N(C=O)CCC(=O)NCC(=O)O;2;1
N#CCNCCC(=O)OC(Cc1ccccc1)C(N)=O;1;14
NC(=O)CCN(CC(=O)O)CC(=O)O;1;5
CC(C#N)N(C(N)=O)C(CC(N)=O)C(N)=O;1;1
N#CCNC(C#N)C#N;1;7
C=CC=NCC(=O)NCC(=O)NCC(=O)NCC(=O)O;1;1
C=CC(C#N)N(CC(=O)O)C(N)=O;1;5
N=C(N)N(CCC(N)=O)CC(=O)Nc1[nH]cnc1C(=O)O;2;1
CC(NC(=O)CN(CC#N)C(=N)NC(=N)N)C(=O)O;1;1
N#CC(CO)(N=C(CO)C(O)CO)C(O)CO;1;0
N#CCNC(=O)CCNC(CO)C(=O)O;1;13
CC(CO)=NCC(=O)NCC(=O)NC(C)C#N;1;0
NC1=NC(=O)N(CC(=O)Nc2c(C(=O)O)nc[nH]c2=O)C1;2;1
OCC(O)C(O)C=NC(CO)C(O)CO;1;1
O=C(O)CNC(=O)CN=C(CO)C(O)C(O)CO;1;1
COC(=O)CCNCC(=O)N(CCC#N)C(C#N)CO;1;13
N#CCNC(=S)C(O)CC(N)=O;1;1
CCN(CCC#N)C(=O)CCN(CC#N)C(N)=O;1;1
Cc1nc[nH]c1NC(=O)CN(CCC#N)C(N)=O;1;6
N#CC(CO)NC(CO)CO;1;12
CSCCC(=O)NC(C#N)C(C)O;1;6
CC(NC=O)C(=O)O;1;1
N=C(N)NCC(=O)Nc1[nH]cnc1C(=O)NCCC(=O)O;1;1
C=C(c1ccccc1)C(N=CC(O)CNC(=N)N)C(=O)O;1;1
N#CC(N=CC(=O)CC(O)CO)C(O)CO;1;1
CC(C#N)NC(=O)c1nc[nH]c1NC(N)=O;1;6
N#CCC(C#N)N=CC(O)C(O)C(O)C(O)C(O)CO;1;1
N#CC=Cn1cncc1COC(=O)CNC(=N)N;1;1
CCN(C(=O)CCN(C=O)CCC(N)=O)C(C#N)CC#N;1;2
CC(N)C(=O)NC(CO)C(N)=O;1;28
N#CC(CCNC(=N)N)Nc1ncnc2[nH]cnc12;1;7
C=Cc1nc(N)nc(N(CCC#N)CCC#N)n1;10;19
CC(C(N)=O)N(CC(N)=O)C(=O)CCNC(N)=O;1;0
O=C(O)CNC(=S)CCO;1;0
CCN(C(=O)C(C)O)C(Cc1ccccc1)C(=O)O;1;6
N#CC=CN(CC(=O)NCC#N)C(C#N)C(O)CO;1;0
N#CCCNC(=O)CN(C=O)CC(O)C(O)CO;1;3
C=CC(C#N)N(CC(=O)NCC(N)=O)C(=O)CNC(N)=O;1;1
N#CC(O)=C(CCO)Nc1[nH]c(=O)[nH]c1C#N;1;0
NC(=O)CCNC(N)=O;1;0
N#CCN(C(N)=O)c1nc(=O)n(CC#N)c2[nH]cnc12;1;7
CSC(=O)C(C)OC(=O)CN(CCC#N)CC(N)=O;1;4
O=C(O)CC(NC(=O)CNCC(O)CO)C(=O)O;1;12
NC(=O)C=CNc1[nH]cnc1C(O)Cc1ccccc1;1;1
CC=NCC(=O)N(CC#N)CCO;1;1
N#CCCN(C(=O)CNC(N)=O)c1[nH]c(=O)[nH]c1C(N)=O;1;5
C=CC(O)C(C=NC(CO)C(O)CO)CNC(=N)N;1;1
N#CCN(CC#N)C(=N)NC(=N)N;1;2
CC(C#N)N(CC(N)=O)C(=O)CN=CC(CO)NC(=N)N;1;1
CC(O)C(O)C(O)C(O)C(O)C=O;1;13
