smiles;Kin (i.e. how many reactions give this molecule);Kout (i.e. how many reactions use this molecule as substrate)
NC(=O)N(CC(O)CO)c1[nH]cnc1Cc1ccccc1;1;6
N#CCCNc1nc(N)nc(CCN(C=O)CC(=O)O)n1;2;2
N#CC=CNCC(=O)N(CC#N)CC(N)=O;2;0
N#CC(C#N)N=CC(=O)CC(O)C(O)CO;1;1
CC=C(C=NC(CO)Cc1ccccc1)c1ccccc1;1;1
CC(C)=NC(C(=O)O)C(O)CO;1;0
N#CC=CN(CC(=O)NCC(N)=O)C(C#N)C(O)CO;1;0
CC(C#N)N(CCC#N)C(=O)CNC(=S)C(O)CO;1;1
CC=C(c1ccccc1)C(C#N)N=C(CO)C(O)CO;1;0
CC=Nc1[nH]cnc1C(O)CO;1;1
N#CCCC(C#N)NC(CO)C(=O)O;1;12
C=Cc1nc[nH]c1NC(=O)CNC(=N)NC(=N)N;1;2
CC(N)C(=O)NCC#N;1;33
CC(N=C(CO)C(O)C(O)Cc1ccccc1)C(=O)O;1;0
C=CC=C(C(=O)OCC(N)=O)C(=O)C(=O)OCC(N)=O;1;0
CCN(CCC(=O)O)C(=O)CCNC(C#N)CC#N;1;14
N#CCC(C#N)N(CCO)C(=O)CCNC(N)=O;1;3
N=C(N)NCCC(=O)OCc1cnc(NC(N)=O)o1;1;2
CC(C#N)NC(CO)C(O)CO;1;12
CC(O)C=Nc1[nH]cnc1C(O)CO;1;1
CCN(C=CC#N)C(C)C#N;1;0
CC(CO)=NC(Cc1ccccc1)C(=O)NC(C)C(=O)O;1;0
CC=C(c1ccccc1)C(C#N)NCC#N;2;11
CSC(=O)C(CCO)N=CC(C)NC(=N)N;1;0
N#Cc1[nH]c(=O)[nH]c1NC(=O)CCNC(=N)NC(=N)N;1;1
N#CCCC=NCC(=O)N(CC#N)C(C#N)CC#N;1;1
NC(=O)NCCC(=O)Nc1ncc(CO)o1;1;3
CCN(C(=O)CNC(=N)N)C(C#N)CC#N;2;3
N#CCCN(CCC(=O)N(CC(N)=O)CC(N)=O)C(=N)N;1;2
N#CCN(C(=O)CCNC(N)=O)c1[nH]cnc1C#N;1;6
CC(C)=NC(C)C(N)=O;1;1
N=C(N)NCCC=NC(CC(N)=O)C(N)=O;1;1
N#CCN(C=O)CCC(=O)N(CC(=O)O)C(C#N)CO;1;3
CC(C)=NC(C(N)=O)C(O)Cc1ccccc1;1;1
N#CC(COC(=O)CCNC(CO)C(N)=O)NC(N)=O;1;10
N#CC(CO)N(CC(=O)O)C(=O)CN=CCNC(=N)N;1;1
CC(O)CNc1[nH]c(=O)n(CCC#N)c1C#N;1;9
N#CCCN(CC(O)CO)C(=O)CN1CCC(N)=NC1=O;1;2
NC(Cc1ccccc1)C(=O)NC(CO)CO;1;31
NC(=O)CNCCC(N)=S;1;0
NCC(=O)N(CC(O)C(O)CO)C(CC(N)=O)C(N)=O;1;27
N#CCCN(C=O)CCC(=O)NCC(N)=O;1;2
NC(=O)c1nc[nH]c1N=CCc1cnc[nH]1;1;1
CSCCC(=O)Nc1[nH]c(=O)[nH]c1C(=O)O;1;9
NC(=O)Cc1nc[nH]c1N=CCCc1ccccc1;1;1
NC(=O)C(Cc1ccccc1)Nc1nc(=O)[nH]c2[nH]cnc12;1;6
CC(C#N)N(CCC(=O)NCCC#N)C(=O)C(N)CO;1;30
N#CCN(C(=O)CCNC(=N)N)c1[nH]cnc1CC(N)=O;1;3
NC(=O)CN(CC(=O)O)C(=O)CNC(=O)CNC(N)=O;3;4
COC(=O)CCN(CCC#N)C(CC(N)=O)C(N)=O;1;19
N#CCCNCC(=O)N(CCO)CC(N)=O;1;12
N#CCNCC(=O)N(CC#N)C(C#N)Cc1ccccc1;1;16
N#CCN(CCC(=O)N(CC#N)CCNC(=N)N)C(N)=O;1;1
CC(C#N)N(C=O)CCc1nc(N)nc(NCCC#N)n1;2;2
N#CCCN(CCNC(=N)N)CCC(=O)O;1;3
N#CCCN(CCC(N)=O)C(=O)CN;1;31
NC(=O)NCCC(=O)Nc1[nH]c(=O)[nH]c1C(N)=O;1;4
NC(=O)CN(CC(=O)O)C(=O)CNCCc1ccccc1;2;12
NC(=O)C(NCC(=O)NCC(=O)O)C(O)CO;1;6
CC(C)=NC(Cc1ccccc1)C(=O)NCCC(N)=O;1;1
CC(C#N)NC(=O)CNC(=O)CNC(N)=O;3;1
CC(C(=O)O)N(CCC(=O)O)CC(=O)O;3;4
CSCCC(=O)NC(C)C(N)=S;1;2
N#CCN(CC(=O)OCC(N)=O)C(=N)NC(=N)N;1;2
NC(=O)CNC(=O)CNC(N)=O;2;0
CC(NCC(O)CO)C(=O)O;2;9
CC=Nc1ncnc2[nH]c(=O)[nH]c12;1;1
Cc1nc[nH]c1N=CC(C)O;1;1
CSCCC(=O)NC(C)C(N)=O;2;0
N#CCCN(CCc1ccccc1)CC(=O)O;4;8
C=Cc1nc(N=CCCC#N)nc(N(CC#N)CC(=O)O)n1;1;1
CSC(=O)C(C)OC(=O)CCN1CC(=O)NC1=O;1;4
N=C(N)NCCC=O;3;25
N#CCCN(CCC(=O)NC(CO)CO)C(N)=O;1;3
O=C(C=NC(CO)Cc1ccccc1)CC(O)CO;1;1
NC(=O)CNC(=S)CCC(=S)NCC(N)=O;1;0
CC(C#N)N(C=O)C(C#N)C(O)C(O)CO;1;3
NC(CO)C(=O)N(CCO)C(Cc1ccccc1)C(=O)O;1;30
N=C(N)NCC(=O)N(CC(=O)O)c1[nH]cnc1C(=O)O;3;1
N#CCN(C(=O)CCNC(=O)CNC(=N)N)C(C#N)CO;1;2
NC(=O)CCN(CCC(N)=S)C(CC(N)=O)C(N)=O;1;2
N#CC(Nc1[nH]cnc1C(=O)O)C(O)Cc1ccccc1;2;7
N#CC=CN(CCC(=O)O)C(CO)C(=O)O;1;0
N#CC(NC(=O)CN)C(O)C(O)CO;1;31
N#CCNC(C#N)C(=O)O;1;8
CC(O)CNCC(=O)N(CC(=O)O)CC(=O)O;1;11
O=C(O)C(CO)N=C(CO)CO;1;0
CC(O)C(O)C(O)C=Nc1[nH]c(=O)n(CCC#N)c1C#N;1;1
CSCCC(=O)N(CC(O)CO)c1cc[nH]c(=O)n1;1;7
O=C1CN(CCO)C(=O)N1;2;2
N#CCC(C#N)N(CCO)C(=O)CNC(=O)CNC(N)=O;2;3
CCN(C(=O)CNC(=O)CCSC)C(C#N)CC#N;1;2
CC(N)C(=O)NCC(=O)N(CCO)CC(N)=O;1;28
N#CCCN(CCC(N)=O)C(=O)c1nc[nH]c1NC(N)=O;1;6
N=C(N)N(CCC(N)=S)CC(=O)NC(CO)C(N)=O;1;2
COC(=O)CCN(CC(=O)NCC#N)C(=O)C(C)N;1;30
C=CC(O)C(C=NCC(=O)NC(C#N)CO)CNC(=N)N;1;1
CC=C(c1ccccc1)C(C#N)NC(C#N)CC#N;1;9
N#CCN(CC(N)=O)C(=O)CNCC(O)CO;1;12
N#CCCNC(=O)CN=CC(CO)(CO)CNC(=N)N;1;1
CCN(C=O)c1c(C(=O)O)ncn1C=CC#N;1;0
O=C(O)CC(N=CC(O)Cc1ccccc1)C(=O)O;1;1
C=CC(C#N)N(CC(=O)O)C(=O)CCN(C=O)C(C)C#N;1;2
O=C(O)CCNc1ncc(CO)o1;1;10
N#Cc1[nH]c(=O)[nH]c1N=CCCNC(=N)N;1;1
N#CCCNC(C#N)CCC(C#N)NCCC#N;1;13
Cc1nc[nH]c1N(CC#N)C(=O)CCN(CC#N)C(=N)N;1;4
NC(=S)CC(NC(=O)CNCC(O)CO)C(N)=S;1;0
N#CC(NCC(=O)NCC(N)=O)C(=O)CCO;1;6
C=C(c1ccccc1)C(NC(=O)CNCCC#N)C(=O)O;1;16
C=CC(C#N)NC(=O)CN=C(C)CO;1;0
CC(NC(C(N)=O)C(O)C(O)CO)=C(O)C#N;1;0
N#CCN(CC(=O)NC(C#N)CO)C(=O)CN;1;29
N#CCCN(CCC#N)CC(=O)N(CCO)CC(=O)O;1;6
N#CCN(C(N)=O)c1[nH]cnc1C(=O)NC(CO)CO;1;7
CCNC(Cc1ccccc1)C(N)=O;2;12
COC(=O)C(Cc1ccccc1)=Nc1[nH]cnc1C(N)=O;1;16
N#CCCNCC(=O)N(CCC#N)C(C#N)CO;1;14
CSC(=O)C(C)OC(=O)CN(CCC(N)=O)C(N)=O;1;4
COC(=O)C(=O)C(=CCc1ccccc1)C(=O)OC;1;14
CCNC(Cc1ccccc1)C(N)=S;1;3
N#CCCN(CC#N)CC(=O)NCC(N)=O;2;2
C=CC(C#N)N(CC(N)=O)C(=O)CCN(CC#N)C(N)=O;1;1
N=C(N)NC(=N)NCCC(=O)NCCC(N)=O;1;1
CC(NC(Cc1ccccc1)C(=O)O)=C(O)C#N;1;1
CC=NC(C#N)CCNC(=N)N;1;1
COC(=O)CCN(CCC#N)c1ncnc2[nH]cnc12;1;25
CC(O)C(=O)N(CCO)C(CC(=O)O)C(=O)O;1;2
N#CCCNC(=O)CCN(CCC(N)=O)C(=N)N;1;2
COC(=O)CN(CCc1ccccc1)C(N)=O;1;18
NC(=O)C(CO)N=CC(O)C(O)C(O)C(O)CO;1;1
CCN(CC#N)C(=O)CNC(=O)CN;1;31
CCN(CCC(N)=O)C(=O)CCN(CC(=O)O)C(N)=O;1;4
CC=C(c1ccccc1)C(C#N)NC(CO)C(=O)O;1;8
CCN(C(=O)CCN(CCC#N)CCC#N)C(C)C#N;1;4
N#CCCN(CC#N)CCC(=O)OCc1cnc[nH]1;1;11
N=C(N)NC(CC(=O)O)C(=O)O;2;0
N#CCCN(CCNC(=N)N)CC(N)=O;1;2
N#CCCN(CCC(=O)OCC(N)=O)C(=O)CNC(N)=O;2;5
N#CCCNc1[nH]cnc1CC(=O)O;2;9
NC(=O)Cn1c(=O)nc(N)c2nc[nH]c21;1;15
CC(C(N)=O)N(CCC(N)=O)C(=O)CN;2;29
CCN(CCC(N)=O)C(=O)C(O)Cc1ccccc1;2;3
N#CCN(CCC(N)=O)C(=O)C(=O)Cc1ccccc1;1;11
CC(O)C(=O)NCC(=O)N(CC#N)CCC(N)=O;1;4
N#CCCN(CC#N)CC(=O)NC(CO)C(N)=O;1;4
CC(NCC(=O)NC(CC(=O)O)C(=O)O)=C(O)C#N;1;0
CCN(C(=O)CCN(CCC(=O)O)C(N)=O)C(C)C#N;1;5
N#CCC(C#N)N(CCO)C(=O)CN=CCCC(=O)O;1;1
NC(=O)C(N=Cc1ncnc2[nH]c(=O)c(=O)[nH]c12)C(=O)O;1;1
CC(CO)=NCC(=O)NC(C)C(=O)O;1;1
N#CCCNC(=O)CCN(CC#N)C(=N)N;1;2
N=C(N)NCC(=O)N(CC(=O)O)c1cc[nH]c(=O)n1;2;2
CCN(CCC#N)C(=O)CNC(=O)CN1CC(N)=NC1=O;1;0
C=O;1;34
CC(C#N)N(C(=O)CCNC(N)=O)c1[nH]c(=O)[nH]c1C#N;1;5
N#CCN(CCC(=O)O)C(=O)CNC(=N)NC(=N)N;2;1
CC(C#N)NC(CC(=O)NCC(N)=O)C(=O)NCC(N)=O;1;11
N=C(N)N(CC(N)=O)CC(=O)Nc1[nH]cnc1CO;2;1
CSC(=O)C(CCO)N=CC(O)C(O)C(O)CO;1;0
CC(O)C=NC(CNC(=N)N)C(=O)O;1;1
N#CCCN(CCC#N)CC(=O)NCC(=O)NCC(N)=O;2;2
N=C(N)NCC=NC(C(N)=O)C(O)C(O)CO;1;1
CC(=O)C=NC(Cc1ccccc1)C(=O)NC(C)C#N;1;1
N#CCCN(CCO)C(=O)CNC(=O)CNC(N)=O;2;3
CC(O)C(=O)N(CC(=O)NCCC#N)C(C#N)C(=O)O;1;6
N#CCCN(CCO)C(=O)CCNC(=N)NC(=N)N;1;1
CC(O)C(C#N)N=CCCC#N;1;1
N#CCN(CC(N)=O)c1nc(N)nc(CNC(N)=O)n1;10;17
N#CCCN(CCC#N)C(=O)CNCC(O)CO;1;14
CCN(CC(=O)O)C(=O)CN(CC(=O)O)C(=N)N;2;0
C=CC(C#N)N(CC(=O)O)C(=O)CCN(CC#N)C(N)=O;1;5
N#CCNC(=N)N;1;4
N#CCCCNc1ncnc2[nH]c(=O)[nH]c12;1;10
NC(=O)NCC(=O)NCC(=O)O;10;4
N=C(N)NCC(N=C(Cc1ccccc1)C(=O)O)C(N)=O;1;0
N#CCCN(CCC#N)C(=N)C#N;1;0
N#CCN(C(=O)CNC(=S)CCO)C(C#N)CO;1;1
Cc1nc[nH]c1N(CC#N)C(=O)CCN(C=O)C(C)C#N;1;4
N#CCN(C(=O)CN(CC(N)=O)C(=N)N)C(C#N)C(=O)O;1;2
N#CC(NC(C#N)C(O)CO)C(=O)CCO;1;5
Cc1cnc(NC(=O)CCN(CC#N)CCC#N)o1;1;4
N#CC(CCNC(=N)N)NCC(=O)NCC(N)=O;1;5
COC(=O)CCN(CC(=O)O)C(=O)CN;1;29
CCN(C(=O)C(N)CO)C(C)C#N;1;32
CC(C#N)N(CCC#N)C(=O)CN=CCc1ccccc1;1;1
N#CC(NC(CO)C(=O)O)C(O)Cc1ccccc1;1;9
N#CCCN(CC(=O)O)C(=O)CN(CC(N)=O)C(N)=O;1;5
COC(=O)CCN(CC(=O)O)C(=O)CN=CC(C)O;1;14
Nc1[nH]cnc1CC(=S)NCC(=O)NCCC(=O)O;1;1
N#CC=Cn1cnc(C#N)c1NC=O;1;0
O=C(O)CNC(=O)C(O)Cc1ccccc1;1;7
C=C(C(=O)C(O)CO)c1ccccc1;1;1
CC(O)C(=O)N(CC(=O)O)C(C#N)C(O)C(O)CO;1;5
CCN(C=O)CC(=O)N(CC#N)CC#N;1;2
