log(k);k;average increase of degree between 5th and 6th generation; cumulative distribution(k); log(cumulative distribution)
0;1;0.181395348837;0.181395348837;-0.741373852889607
0.301029995663981;2;0.10998552822;0.291380877057;-0.535538953805354
0.477121254719662;3;0.202247191011;0.493628068068;-0.306600153957629
0.602059991327962;4;0.134453781513;0.628081849581;-0.201983756732389
0.698970004336019;5;0.239130434783;0.867212284364;-0.061874578829544
0.778151250383644;6;0.301204819277;1.168417103641;0.067597905681296
0.845098040014257;7;0.431034482759;1.5994515864;0.203971099013725
0.903089986991943;8;1;2.5994515864;0.414881733308307
0.954242509439325;9;0.483870967742;3.083322554142;0.489018959743208
1;10;0.48275862069;3.566081174832;0.552191224812516
1.04139268515823;11;0.58064516129;4.146726336122;0.617705374974866
1.07918124604762;12;0.888888888889;5.035615225011;0.702052537949195
1.11394335230684;13;0.633333333333;5.668948558344;0.753502516096861
1.14612803567824;14;0.548387096774;6.217335655118;0.793604314244555
1.17609125905568;15;0.509803921569;6.727139576687;0.827830438646993
1.20411998265592;16;0.62;7.347139576687;0.866118290396871
1.23044892137827;17;0.68;8.027139576687;0.904560814597298
1.25527250510331;18;0.785714285714;8.812853862401;0.945116568569974
1.27875360095283;19;1.2962962963;10.109150158701;1.00471464749012
1.30102999566398;20;0.111111111111;10.220261269812;1.00946199820449
1.32221929473392;21;0.933333333333;11.153594603145;1.04741485525177
1.34242268082221;22;0.428571428571;11.582166031716;1.06378978630459
1.36172783601759;23;0;11.582166031716;1.06378978630459
1.38021124171161;24;0.5;12.082166031716;1.08214479945856
1.39794000867204;25;0;12.082166031716;1.08214479945856
1.41497334797082;26;0.333333333333;12.415499365049;1.09396419204393
1.44715803134222;28;0.444444444444;12.859943809493;1.10923907097697
1.46239799789896;29;0;12.859943809493;1.10923907097697
1.47712125471966;30;1;13.859943809493;1.14176146957762
1.49136169383427;31;0.444444444444;14.304388253937;1.1554692893611
1.50514997831991;32;0.55;14.854388253937;1.17185477102288
1.51851393987789;33;1.375;16.229388253937;1.21030214995891
1.53147891704226;34;0.666666666667;16.896054920604;1.22778531252965
1.54406804435028;35;0.625;17.521054920604;1.24356025094192
1.55630250076729;36;7;24.521054920604;1.38953915003651
1.56820172406699;37;5.5;30.021054920604;1.47742594900477
1.6232492903979;42;15;45.021054920604;1.65341566704899
1.68124123737559;48;0;45.021054920604;1.65341566704899

