log(k);k;average increase of degree between 5th and 7th generation; cumulative distribution(k); log(cumulative distribution)
0;1;0.08;0.08;-1.09691001300806
0.301029995663981;2;0.137614678899;0.217614678899;-0.662311813248563
0.477121254719662;3;0.0714285714286;0.2890432503276;-0.539037167716659
0.602059991327962;4;1.19230769231;1.4813509426376;0.170657958180728
0.698970004336019;5;0.5;1.9813509426376;0.296961405852686
0.778151250383644;6;2.07142857143;4.0527795140676;0.607752977186434
0.845098040014257;7;3;7.0527795140676;0.848360307023315
0.903089986991943;8;9.75;16.8027795140676;1.22538112861723
0.954242509439325;9;1.75;18.5527795140676;1.26840898334155
1;10;2.16666666667;20.7194461807376;1.3163781427786
1.04139268515823;11;2.28571428571;23.0051604664476;1.36182526691834
1.07918124604762;12;2.66666666667;25.6718271331176;1.40945677968008
1.11394335230684;13;0;25.6718271331176;1.40945677968008
1.14612803567824;14;4.4;30.0718271331176;1.47815981618577
1.17609125905568;15;2.35714285714;32.4289699902576;1.51093315482002
1.20411998265592;16;5.5;37.9289699902576;1.57897104904022
1.23044892137827;17;6.83333333333;44.7623033235876;1.65091242582296
1.25527250510331;18;9.6;54.3623033235876;1.73529784944994
1.27875360095283;19;23.6;77.9623033235876;1.89188466146081
1.30102999566398;20;0;77.9623033235876;1.89188466146081
1.32221929473392;21;4.5;82.4623033235876;1.91625546127729
1.34242268082221;22;0.5;82.9623033235876;1.91888080108154
1.38021124171161;24;1;83.9623033235876;1.92408434400044
1.39794000867204;25;0;83.9623033235876;1.92408434400044
1.41497334797082;26;0;83.9623033235876;1.92408434400044
1.44715803134222;28;0.75;84.7123033235876;1.92794649034848
1.46239799789896;29;0;84.7123033235876;1.92794649034848
1.47712125471966;30;1;85.7123033235876;1.93304316593759
1.49136169383427;31;1;86.7123033235876;1.93808072246417
1.50514997831991;32;5.5;92.2123033235876;1.96478887017584
1.51851393987789;33;15.6666666667;107.878969990288;2.03293679123219
1.53147891704226;34;4.4;112.278969990288;2.05029841990837
1.54406804435028;35;10;122.278969990288;2.08735177181543
1.55630250076729;36;56.5;178.778969990288;2.25231643082272
1.56820172406699;37;29.5;208.278969990288;2.31864542127636
1.6232492903979;42;70;278.278969990288;2.44448038720982
1.68124123737559;48;0;278.278969990288;2.44448038720982
