smiles;Kin (i.e. how many reactions give this molecule);Kout (i.e. how many reactions use this molecule as substrate)
CCN(C(=O)CNC(=N)NC(=N)N)c1[nH]cnc1C(N)=O;1;2
C=CC(=O)OCC(C#N)NC(=O)CNC(N)=O;1;8
CC(C#N)N(CC(N)=O)C(=O)CN(CC#N)C(N)=O;1;1
N#CCN(CC(N)=O)C(=O)CN=CCNC(=N)N;1;1
N#CCCN(CC(N)=O)C(C#N)CO;1;5
N#CCCC=NCC(=O)NC(C#N)Cc1ccccc1;1;1
CC(C#N)NC(=O)CC(O)C(=O)NC(C)C#N;1;6
C=Cc1nc(N)nc(N(CCC#N)CC(=O)O)n1;4;19
O=C(O)Cc1nc[nH]c1N=CC(O)C(O)CO;1;1
CSCCc1nc(N)nc(NCCC(=O)O)n1;2;1
N#CC=CNCC(=O)NC(Cc1ccccc1)C(N)=O;2;0
N#CCCN(CC#N)CC(=O)N(CC#N)CC#N;2;4
N#CCCN(CCC#N)C(Cc1ccccc1)C(N)=O;1;4
O=C(O)C(=O)C(=C(CO)CO)c1ccccc1;1;2
NC(=O)CN(CC(N)=S)C(=O)CNC(N)=O;1;2
NC(=O)C(CO)N=CC(O)C(O)C(O)C(O)CO;1;1
N#CC(C#N)(CCC=C(C(=O)O)C(=O)C(=O)O)NC(N)=O;1;2
O=C(O)Cn1c(=O)[nH]c(=O)c2nc[nH]c21;1;6
N#CCNC(=O)CN(CC#N)C(=O)CNC(=N)NC(=N)N;1;1
N=C(N)NC(=N)N(CCC(N)=O)CC(N)=O;1;1
NC(=O)Nc1[nH]cnc1-c1nc(N)nc(N)n1;3;13
CC(NC(C(N)=O)C(N)=O)C(N)=S;1;0
O=CCCNc1ncnc(C=O)c1NCCC=O;1;18
CC(NC(C(N)=O)C(N)=O)C(N)=O;2;3
O=CC(O)CCC(O)C=O;1;27
N#CCCN(CCc1ccccc1)C(=O)CN;1;34
N#CCCNC(=O)CNC(=O)CN=CC(O)CO;1;1
N=C(N)NCC=Nc1[nH]cnc1C(=O)O;1;1
N=C(N)NCC(=O)Nc1ncnc2[nH]cnc12;1;2
NC(=O)NCC(=O)NCC(=O)NCC(=O)O;2;4
N#CCCC=Nc1c(C(=O)O)nc[nH]c1=O;1;1
N#CCCN(C(=N)N)C(Cc1ccccc1)C(=O)O;1;4
N#Cc1ncnc(N=CC(O)CO)c1NC(N)=O;1;1
COC(=O)CCN(C(=N)NC(=N)N)C(C)C#N;1;15
NC(=O)CN(CC(N)=O)C(=O)CN=CC(=O)CCO;1;1
COC(=O)CCN(C=O)C(Cc1ccccc1)C(N)=O;1;17
N#CC(C#N)N=CCCNC(=N)N;1;1
C=CC(C#N)Nc1[nH]c(=O)[nH]c1C#N;1;6
CSCCC(=O)NCC(=O)NC(CC(N)=O)C(N)=O;1;0
N#CCC(C#N)N(C(=N)N)C(C#N)CO;1;5
O=C(O)C(Cc1ccccc1)NCCc1ccccc1;2;11
CC(NC=CC(N)=O)C(N)=O;1;0
NC(=O)c1nc[nH]c1N(CCO)C(N)=O;1;6
OCc1cnc(N=CC(O)C(O)C(O)C(O)CO)o1;1;1
CC(C#N)NCCC(=O)NCC(=O)NCCC(=O)O;1;14
CC=NC(CC(=O)O)C(=O)O;1;1
Nc1[nH]cnc1CC(=S)NCC(=O)O;1;1
C=CC=NCC(=O)NCC#N;1;1
N#CCNCC(=O)N(CC#N)CC(=O)O;1;15
COC(=O)CC(NC(C#N)Cc1ccccc1)C(=O)OC;1;19
CCN(CCC#N)C(=O)CN(CCC#N)C(=N)NC(=N)N;1;1
N#CCCN(CC(=O)NCC(=O)O)C(=O)CNC(N)=O;1;5
N#CCCn1c(C#N)c(N=CCCNC(=N)N)[nH]c1=O;1;1
CSCCC(=O)NC(C#N)Cc1ccccc1;1;5
N#CCN(C(=O)CNC(N)=O)c1c(C#N)ncn1C(=N)N;1;1
N#CC(CO)NC(=O)CNC(=S)CCNC(N)=O;1;1
N#CCCNc1ncnc2[nH]cnc12;2;10
CC=NC(C#N)C(=CCc1ccccc1)c1ccccc1;1;1
N#CC(NC(=O)CNC(N)=O)C(O)Cc1ccccc1;1;4
CSCCC(=O)N(CC(=O)O)C(C#N)CO;1;6
NCC(=O)N(CCc1ccccc1)CC(N)=S;1;4
N#Cc1nc[nH]c1N=C(CO)CO;1;0
CC(=S)NCC(=O)N(CC#N)CCc1ccccc1;1;2
N#CCN(CC(N)=O)C(=O)CCNC(CC(N)=O)C(N)=O;1;12
NC(=O)N(CCC(=S)NCC(=O)O)CC(=O)O;1;0
N#CC(NCCC(N)=O)C(O)C(O)CO;1;9
NC(=O)CCN(CC(N)=O)C(=O)CN=C(CO)CO;1;0
N#CCCN(CC(=O)O)C(=O)CNC(=O)CN=CC(=O)O;1;1
C=CC(C#N)N=CCCNC(=N)N;1;1
CCN(CC(=O)O)C(=O)CN(CC#N)CCC#N;1;8
CC(=S)NCC(=O)N(CC#N)C(C#N)CC#N;1;1
N#CC=CN(CC#N)CC(=O)NCCC#N;1;0
COC(=O)CCN(CCC(N)=O)C(=O)CN;1;29
CCN(CC(=O)O)C(=O)C(N)Cc1ccccc1;1;31
N#CC(Cc1ccccc1)NCCC(=O)NCCC(=O)O;1;15
COC(=O)CCN(C=CC#N)CC(=O)N(CC#N)CC#N;1;0
CC(O)C=NCC(N)=O;1;1
N#CCC(C#N)N(CC#N)C(=O)CN=C(CO)C(O)CO;1;0
N#CCCNC(=N)N;1;4
N=C(N)NCC(=O)N(CCc1ccccc1)CC(=O)O;3;1
C=Cc1nc(N)nc(NCC(=O)NC(C)C#N)n1;4;4
CC(C#N)N(CCC#N)C(=O)c1nc[nH]c1NC(N)=O;1;6
N#CC=CNCC(=O)N(CCC(N)=O)CC(N)=O;2;0
N#CC(Cc1ccccc1)NC(N)=O;1;2
N#CC(Cc1ccccc1)N(CCO)C(=O)CN;1;32
CC=Nc1[nH]cnc1C(N)=O;1;1
C=CC=NCC(=O)NCC(N)=O;1;1
N#CCN(CCc1ccccc1)C(N)=O;1;2
C=CC=NC(C)C#N;1;1
O=CCCN(CCC=O)C(C=O)C=O;1;20
NC(=O)CCNCC(=O)O;2;13
N#CC(CO)NCCC(=O)NC(C#N)Cc1ccccc1;1;14
N#CCCN(CC#N)CC(=O)NC(C#N)C(O)C(O)CO;1;5
N#CC=CN(CCO)CCC#N;1;0
N#CCNCCC(=O)OC(Cc1ccccc1)C(N)=O;1;14
CC=NCC(=O)N(CC#N)C(C#N)CC#N;1;1
NC(=O)CCN(CC(=O)O)CC(=O)O;1;5
N#CCCNC(CC(N)=O)C(N)=O;1;13
CC=Nc1[nH]cnc1CO;1;1
COC(=O)CN(CC(N)=O)C(N)=O;1;17
N#CC=CN(CCC#N)CC(N)=O;1;0
O=C(CO)CO;1;23
CC(NC(=O)CN(CC#N)C(=N)NC(=N)N)C(=O)O;1;1
N#CCCC=NC(C#N)C(=CCO)c1ccccc1;1;1
N#CCCN(CC(=O)O)c1nc(N)nc(CNC(N)=O)n1;4;17
N#CC(NCCC(N)=O)C(O)CO;1;9
N#CC(C#N)N=Cc1ncnc(NC(=N)N)c1NC(=N)N;1;1
CC(NC(=O)C(O)Cc1ccccc1)C(N)=O;1;3
N#CC(NC(=N)N)C(O)C(O)CO;1;4
N#CC(NC=CC(N)=O)C(O)C(O)CO;1;0
O=C(O)C(=O)Cc1ccccc1;1;17
CC=C(C=C(C(=O)CO)c1ccccc1)c1ccccc1;1;3
N#CCNC(=S)C(O)CC(N)=O;1;1
Cc1nc[nH]c1NC(=O)CN(CCC#N)C(N)=O;1;6
N#CCNC(C#N)C(O)CO;2;9
NC(=O)COC(=O)C(O)Cc1ccccc1;1;6
CC(NC=O)C(=O)O;1;1
CC(=O)C=NCC(N)=O;1;1
NC(=O)COC(=O)CN(CC(N)=O)C(=O)CNC(N)=O;1;4
OCC1OC(O)C(O)C1O;1;3
O=c1[nH]c2ncnc(N=CC(O)C(O)CO)c2[nH]1;1;1
CC(C#N)NC(=O)c1nc[nH]c1NC(N)=O;1;6
CSCCC(=O)Nc1[nH]cnc1CO;1;7
C=Cc1nc(N)nc(N(CCC#N)CCC#N)n1;4;19
NC1=NC(=O)NC1Cc1ccccc1;1;1
N#CCCN(CC#N)C(=O)CNC(=O)CN=CC(O)CO;1;1
N#CCN(CC(=O)N(CC#N)CC(=O)O)C(N)=O;2;5
N#CCNC(=O)CNC(=O)CN=C(CO)C(O)CO;1;0
N=C(N)n1cnc(C(=O)OCC(O)C(N)=O)c1NC(N)=O;1;5
C=CC=C(C=NC(C#N)C=C)c1ccccc1;1;1
N#CC(O)CCNc1ncnc2[nH]cnc12;1;10
CC=NCC(=O)N(CC#N)CC#N;1;1
CC(=O)C=NC(CO)C(=O)O;1;1
NC(=O)CCNC(N)=O;1;0
CC=C(c1ccccc1)C(N)C(N)=O;1;14
CC(C#N)NC(=O)CN(CCC#N)C(=N)N;1;2
CSCCC(=O)NCC#N;1;4
N#CCN(CC(=O)OCC(N)=O)C(=O)CNC(N)=O;1;5
N#CCN(CC(=O)N(CC(N)=O)CC(N)=O)C(=N)N;1;2
O=C(O)CNC(=S)C(O)CO;1;0
N#CCN(CC#N)C(=N)NC(=N)N;1;2
N=C1NC(=O)CC1O;1;0
CC(NCC(=O)O)C(N)=O;1;12
O=CC(O)C(O)C(O)C(O)C(O)C(O)CO;1;12
N#CCCN(CC#N)C(=O)CNC(=O)CN=C(CO)CO;1;0
N#CCc1nc[nH]c1N(C=O)CC#N;1;4
N#CCN(CC(N)=O)C(=O)CNCCC(=O)OCC(N)=O;1;13
N#CC=CNCC(=O)N(CC#N)CC(N)=O;2;0
N#CCN(C(=O)CNC(N)=O)c1[nH]c(=O)[nH]c1C#N;1;5
N#CCNC(=O)CC(NCC(N)=O)C(=O)NCC#N;1;12
CC(C#N)NCC(=O)N(CC#N)CC(=O)O;1;14
N#CCCN(Cc1nc(N)nc(NCC#N)n1)C(N)=O;3;1
N=C(N)NCC(=O)NCC(=O)NCC(N)=S;1;2
N#CC(C#N)NC(C#N)C(O)Cc1ccccc1;1;6
CCN(C=CC#N)c1[nH]cnc1C#N;1;0
N#CCN(CC(=O)N(CCC(N)=O)CC(=O)O)C(N)=O;1;5
O=C(O)Cc1nc[nH]c1N=CCc1ccccc1;1;1
CC=C(c1ccccc1)C(C#N)N=C(CO)C(O)CO;1;0
N#Cc1ncn(C(=N)N)c1NC(N)=O;1;1
N#CCCN(CC(=O)NCC(=O)NC(C#N)CO)C(=N)N;1;3
N#CCCN(CC#N)CCC#N;1;4
N#CCCN(CC#N)C(=O)CNC(=S)CO;1;1
NC(=O)C(N=C(CO)C(O)CO)C(N)=O;1;0
C=CC(C#N)N=CCCC#N;1;1
C=C(C=NCC(=O)NCC(=O)NCCC#N)c1ccccc1;1;1
C=C(c1ccccc1)C(NCCC(N)=O)C(N)=O;1;9
CC(C#N)N(CC(=O)O)C(=O)CN(CC#N)CCC#N;1;8
NC(=S)CCN(C=O)C(Cc1ccccc1)C(N)=S;1;1
COC(=O)CC(C(=O)OC)N(C=CC#N)CC(N)=O;1;0
N#CCCNCC(=O)NC(Cc1ccccc1)C(N)=O;1;14
COC(=O)CC(C(=O)OC)N(C=O)CC(=O)O;1;16
CC=C(c1ccccc1)C(C#N)NCC#N;2;11
C=CC=NCC(=O)N(CC#N)CC(N)=O;1;1
NC(=O)CC(N=CC(O)C(O)C(O)C(O)CO)C(N)=O;1;1
CC(C#N)N(CC(=O)O)C(=O)CN(CC#N)C(N)=O;1;5
NC(=O)CNC(=S)c1ncnc(N)c1N;1;4
N#CCCNCC(=O)NC(Cc1ccccc1)C(N)=S;1;2
CCN(C(=O)CNC(=N)N)C(C#N)CC#N;1;3
C=CC(C#N)NCCC(N)=O;1;10
N#CCCN(C(=O)CNC(=N)NC(=N)N)C(C#N)CC#N;2;1
N#CC(Cc1ccccc1)NC(C#N)C(=O)O;1;7
N#Cc1ncnc(N=C(CO)CO)c1NC(N)=O;1;0
O=C(O)CNC(=O)CNCCO;1;12
O=C(O)C=Nc1ncnc2[nH]cnc12;1;1
COC(=O)CCN(CC(=O)NCC#N)C(=N)NC(=N)N;1;15
C=CC=NCC(=O)NCC(=O)N(CC#N)CCC#N;1;1
N#CCCNC(=O)CC(O)C(=O)NCCC#N;1;6
NC(=O)CCN(C(=O)CNC(N)=O)c1[nH]cnc1C(N)=O;1;5
N#CCNC(=O)CN(CC#N)C(=N)NC(=N)N;2;1
N#Cc1[nH]c(=O)[nH]c1NC(=O)CNC(=N)NC(=N)N;1;1
NC(=S)CCNCC(=O)O;1;0
NC(=O)CNCCC(N)=S;1;0
CC(O)C(=S)NCC(=O)NCC(=O)NC(C#N)CC#N;1;1
NC(=O)CCNCCC(=O)OCC(N)=O;2;11
CSCCC(=O)Nc1[nH]c(=O)[nH]c1C(=O)O;1;9
N#CCCN(CC(=O)N(CC#N)c1ncco1)C(N)=O;1;3
N#CC(NC(=CC(=O)O)C(=O)O)C(O)CO;1;1
CC(C#N)NC(=O)CN(CC#N)C(=N)NC(=N)N;1;1
N#CCCN(CC#N)c1[nH]cnc1Cc1ccccc1;1;9
NC(=S)C(O)C(=CCO)c1ccccc1;1;3
N=C(N)NCC(=S)NCC(=O)NCC(=O)O;1;0
C=CC=Nc1[nH]cnc1C;1;1
COC(=O)CCN(CCC#N)C(CC(N)=O)C(N)=O;1;19
NC(=O)C=CNc1c(C(=O)O)nc[nH]c1=O;1;1
NC(=O)CCNC(=CC(=O)O)C(=O)O;1;1
NCC(=O)NCC(=O)N(CC(N)=O)CC(=O)O;2;29
N#CCC(C#N)N(CCc1ccccc1)C(=O)CN;1;34
N#CCCN(CCC(N)=O)C(=O)CN;1;31
CC(C#N)NC(=O)CN(CC#N)C(=N)N;1;2
C=Cc1nc(NC(=N)N)nc(NC(=N)N)n1;1;0
CC(C#N)NC(=O)CNC(=O)CNC(N)=O;1;1
CC(=O)C=NC(Cc1ccccc1)C(=O)O;1;1
N#CCCN(CC#N)C(=O)CN(C=O)CC#N;1;2
N#CCN(CC(=O)OCC(N)=O)C(=N)NC(=N)N;1;2
NC(=O)CNC(=O)CNC(N)=O;2;0
N#CCN(C(=N)N)c1ncco1;1;7
NC(=O)CCNC(=S)CO;1;0
N#CCCN(CC#N)CC(=O)Nc1[nH]cnc1C(N)=O;1;7
CC(C#N)N(C=CC#N)C(C(N)=O)C(N)=O;1;0
N#CCN(CC(=O)NCC(N)=O)C(N)=O;2;1
N#CCc1ncn(C(=N)N)c1NC(N)=O;1;1
N#CCC1NC(=O)NC1=N;1;0
N#Cc1[nH]c(=O)[nH]c1N=CC(O)C(O)C(O)C(O)CO;1;1
N#CC(CNC(=N)N)NC(=O)c1nc[nH]c1NC(N)=O;1;2
Cc1nc[nH]c1N=CC(C)O;1;1
CSCCC(=O)NC(C)C(N)=O;1;0
Cc1nc[nH]c1NC(=O)CNC(N)=O;1;5
N#CCCN(CCc1ccccc1)CC(=O)O;1;8
N#CC(N=C(CO)CO)C(O)CO;1;0
N#CCCN(CC#N)c1ncco1;1;7
N=C(N)NCCC=O;2;25
NC(=O)CCN(CCC(N)=O)C(C(N)=O)C(N)=O;3;0
O=CCNc1[nH]cnc1C=O;2;13
N#CCNC(=O)CNC(=N)NC(=N)N;2;1
CSCCC(=O)N(CC(N)=O)c1[nH]cnc1C(N)=O;1;5
NC(=O)CNC(=S)CCC(=S)NCC(N)=O;1;0
NC(=O)N(CCO)c1ncnc2[nH]cnc12;1;7
N#CCCN(CCC(=O)O)C(=O)CCNC(C#N)CO;1;13
CC=C(C=NCC(=O)N(CC#N)CC(=O)O)c1ccccc1;1;1
N#CC(Nc1[nH]cnc1C(=O)O)C(=O)O;1;7
N=C(N)NCC(=O)N(CC(=O)O)c1[nH]cnc1C(=O)O;3;1
NC(=O)NCC(=O)N(CCO)c1[nH]cnc1C(=O)O;1;6
N#CCCNC(=O)CCNC(CC(=O)O)C(=O)O;1;14
N=C(N)NCCC=NCC(=O)NC(CC(N)=O)C(N)=O;1;1
N#CCN(C(=N)N)C(Cc1ccccc1)C(=O)O;1;4
N#CCCN(CC(=O)Nc1[nH]cnc1C(N)=O)C(=N)N;1;3
CC(C#N)NC(Cc1ccccc1)C(=O)O;1;14
N#CCN(C(=O)CNC(=N)N)c1[nH]cnc1C#N;1;4
N#CC(Nc1[nH]cnc1C(=O)O)C(O)Cc1ccccc1;1;7
N#CCCN(CC#N)C(=O)CNC=CC(N)=O;1;0
N#CC(CNC(=N)N)NC(=O)CNC(=N)NC(=N)N;1;0
C=CC(C#N)N=C(CO)Cc1ccccc1;1;0
N#CCNC(C#N)C(=O)O;1;8
NC(=O)N(CC(=O)O)C(CC(=O)O)C(=O)O;1;4
CC=C(C=NC(C#N)Cc1ccccc1)c1ccccc1;1;1
O=C(O)C(CO)N=C(CO)CO;1;0
CC(O)C=NCC#N;1;1
O=C(O)C=C(NCC(=O)NCC(=O)O)C(=O)O;1;0
N#CCCN(CCC(N)=O)C(=O)c1nc[nH]c1NC(N)=O;1;6
Nc1nc(N)nc(-c2nc(N)nc(O)n2)n1;1;17
N#CC(CNC(=N)N)NC(=O)C(O)Cc1ccccc1;1;3
N=C(N)NCC(=O)N(CCC(=O)O)CC(=O)O;4;0
O=C(O)CCNC(=S)CCNc1[nH]cnc1C(=O)O;1;1
O=C(O)CC(N=CC(O)Cc1ccccc1)C(=O)O;1;1
C=CC(C#N)NCC(=O)N(CC#N)CCC#N;1;11
N#CCCN(CC#N)Cc1nc(N)nc(N)n1;3;19
N#CC(CO)N(C=O)c1ncnc2[nH]cnc12;1;5
NC(=O)Nc1ncnc2c(N=C(CO)CO)nc(=O)[nH]c12;1;0
CC(=O)C=Nc1nc(=O)[nH]c2[nH]cnc12;1;1
N#CCN(CC#N)C(=O)CN=CCc1ccccc1;1;1
N#Cc1[nH]c(=O)[nH]c1N=CCCNC(=N)N;1;1
N#CCN(CC#N)C(=N)N;1;4
N#CCCNC(C#N)CCC(C#N)NCCC#N;1;13
N#CCCNC(=O)CN(CCC#N)C(=O)CNC(=N)N;1;2
C=CC=C(C=NC(CC(N)=O)C(N)=O)c1ccccc1;1;1
N#CCCN(CCC#N)CC(=O)N(CCO)CC(=O)O;1;6
CCNC(Cc1ccccc1)C(N)=O;2;12
NC(=O)NCC(=S)NCC(N)=S;1;0
N#CCN(CCO)C(=O)CNC(N)=O;1;3
N#Cc1ncnc(N=CCc2ccccc2)c1NC(N)=O;1;1
N#CCN(CC(=O)O)C(=O)CNC(=S)CO;1;1
O=C(O)CNCCO;3;11
N#CCCN(C(=O)C(N)Cc1ccccc1)C(C#N)CO;1;33
N#CC(N=C(Cc1ccccc1)C(=O)O)C(O)CO;1;0
N#CCCN(CC(=O)NC(CC(=O)O)C(=O)O)C(=N)N;1;2
CCNC(Cc1ccccc1)C(N)=S;1;3
N#CCCN(CC#N)CC(=O)NCC(N)=O;2;2
CSCCC(=O)N(CCC#N)C(C#N)CC#N;1;4
N#CCc1nc[nH]c1NC(C#N)CO;1;9
O=CNc1ncnc2[nH]c(=O)[nH]c12;1;4
CCN(CCC#N)C(=O)CN(CC#N)C(N)=O;1;1
N#CC=CN(CC#N)CC#N;1;0
N#CCNCC(=O)NCC(=O)NCC(=O)O;1;15
N#CC(CO)N=CC(O)CO;1;1
N#CC(CNC(=N)N)N=CC(O)C(O)C(O)C(O)CO;1;1
COC(=O)CN(CCc1ccccc1)C(N)=O;1;18
CC(O)C=Nc1ncc(CO)o1;1;1
O=c1[nH]c2ncnc(N=C(CO)C(O)CO)c2[nH]1;1;0
NC(=O)c1[nH]c(=O)[nH]c1NC=O;1;2
Nc1[nH]cnc1CC(=S)NCCC(=O)O;1;1
C=CC=NCC(=O)N(CC#N)CC(=O)O;1;1
N#CCCN(CCC#N)CCC(N)=O;1;3
N#CCCN(CCC#N)CC(=O)N(CCC#N)CCC#N;1;4
CSCCC(=O)Nc1ncco1;1;4
N#CCNC(=O)CCNC(Cc1ccccc1)C(=O)O;1;15
N=C(N)NC(CC(=O)O)C(=O)O;2;0
NC(=O)C(N)C(O)C(O)CO;1;18
N#CCCNc1[nH]cnc1CC(=O)O;1;9
NC(=O)Cn1c(=O)nc(N)c2nc[nH]c21;1;15
N#CCN(CCC(=O)O)C(=O)C(O)Cc1ccccc1;1;9
N#CCCN(CCC(=O)O)C(=O)CN(CC#N)C(=N)N;1;3
COC(=O)CNC(=O)CNC(=O)CNC(=N)N;1;14
N#CCCN(CCC(N)=O)CC(N)=O;1;3
N#CCCN(CC#N)CC(=O)NC(CO)C(N)=O;1;4
N#CCCN(CC(=O)O)C(=O)CN=CCNC(=N)N;1;1
C=O;1;34
N#CCN(CCC(=O)O)C(=O)CNC(=N)NC(=N)N;1;1
N#CC=Cn1cnc(C(N)=O)c1N(C=O)CCC(N)=O;1;0
CC(C#N)NC(CC(=O)NCC(N)=O)C(=O)NCC(N)=O;1;11
N#Cc1nc[nH]c1N(C(=O)CNC(=N)N)C(C#N)CO;1;4
N#CCCN(CC(=O)NC(CO)C(=O)O)C(N)=O;1;3
N#CCCN(CCC#N)CC(=O)NCC(=O)NCC(N)=O;1;2
NC(=O)CN(CCC(N)=S)C(=O)CNC(N)=O;1;2
N#CC(CNC(=N)N)NC(C#N)Cc1ccccc1;1;7
N#CCN(CC(N)=O)c1nc(N)nc(CNC(N)=O)n1;4;17
N#CCCN(CCC#N)CCc1ccccc1;1;5
O=c1nc(N=CC(=CCO)c2ccccc2)cc[nH]1;1;1
N#CC(=N)Nc1[nH]cnc1CC(=O)O;1;0
N#CCNC(=N)N;1;4
N#CCCN(CC(=O)O)C(=O)CN=CC(=O)CCO;1;1
NC(=O)NCC(=O)NCC(=O)O;2;4
CC(C#N)NC(=O)CNCCC#N;1;15
N#CCCN(CCC#N)C(=N)C#N;1;0
N#CC=CNc1[nH]cnc1CO;2;0
N#CCNCC(=O)N(CCC(N)=O)CC(N)=O;1;13
NC(=O)C(CO)N=CCc1ccccc1;1;1
N=C1CCNC(=O)N1;1;0
COC(=O)CCN(CC(=O)O)C(=O)CN;1;29
NC(=O)COC(=O)CCNC(CC(N)=O)C(N)=O;2;10
CC(O)C=Nc1ncnc2[nH]c(=O)[nH]c12;1;1
N#CCC(C#N)NCCC(=O)NC(CO)C(=O)O;1;13
CC(O)C(=S)NCC(=O)N(CCC#N)CC(=O)O;1;1
C=C(c1ccccc1)c1nc[nH]c1N=CCO;1;1
OCc1cnc[nH]1;2;6
CSCCC(=O)Nc1[nH]cnc1C(C#N)=NCCC#N;1;0
CC(NC=CC#N)C(N)=O;2;0
Nc1[nH]cnc1CC(=S)NCC(=O)NCCC(=O)O;1;1
N#CC=Cn1cnc(C#N)c1NC=O;1;0
O=C(O)C=Nc1cc[nH]c(=O)n1;1;1
CSCCC=NCC(=O)NC(C#N)Cc1ccccc1;1;1
N#CCCN(CC(N)=O)C(=O)CN(CC#N)C(N)=O;1;1
N#CCN(CC(=O)N(CCC(=O)O)CC(=O)O)C(N)=O;1;5
N#CCN(CC#N)C(=O)CNC(=O)CN=CC(O)CO;1;1
N#CCCN(C(N)=O)c1c(C#N)ncn1C(=N)N;1;1
N#CCC(C#N)N=CC(O)C(O)C(O)C(O)CO;1;1
N#CCCN(CC(N)=O)C(=O)CN=CC(O)C(O)CO;1;1
N#CC=CN(CCC#N)CCC(N)=O;1;0
CSCCC(=O)N(CC(N)=O)c1[nH]cnc1C(=O)O;1;9
N#CC=CNc1[nH]cnc1CC(=O)O;2;0
N#CCCN(CCc1ccccc1)C(N)=O;1;2
CCN(CC(N)=O)C(=N)C#N;1;0
NC(=S)CNCC(=O)N(CC(=O)O)CC(N)=S;1;0
CC1OC2N=C(NC(=O)CNC(=N)N)OC2C1O;1;0
NC(=O)C=CNCC(=O)NC(CC(N)=O)C(N)=O;1;0
NC(=O)CCN=C(CO)C(O)CO;1;0
CC1OC2N=C(NC(=N)N)OC2C1O;1;0
N#CCN(C(N)=O)c1c(C(=O)O)ncn1C(=N)N;1;1
O=CNC1=NC2OC(C(O)CO)C(O)C2O1;1;1
N#CC(NCC(N)=O)C(=O)O;1;7
COC(=O)CC(NC(C)C#N)C(=O)OC;1;18
NC(=O)c1nc[nH]c1N=CC(O)C(O)CO;1;1
N#CCN(CC(=O)NC(C#N)CNC(=N)N)C(=N)N;1;2
N#CCC(C#N)NC(=O)CCNC(CC(N)=O)C(N)=O;1;12
C=Cc1nc(N)nc(NCC(=O)N(CC#N)CCC#N)n1;4;4
NC(=O)NCC(=O)OCC(O)c1cnc[nH]1;1;9
N#CC(NC=O)C(=O)O;1;1
C=CC(C#N)NCCC(=O)O;1;10
N#CC=CN(CC(=O)O)C(Cc1ccccc1)C(N)=O;1;0
N#CC(Cc1ccccc1)NC(=O)c1nc[nH]c1NC(N)=O;1;6
N#CCN(CC(=O)OCc1cnc[nH]1)C(=N)N;1;4
N#CCCN(CC(=O)Nc1ncco1)C(N)=O;1;3
N#CCNC(=O)CN=CC(=O)O;1;1
O=C(O)C=Nc1[nH]cnc1CO;1;1
NC(=O)C(N=CCc1ccccc1)C(N)=O;1;1
