smiles;Kin (i.e. how many reactions give this molecule);Kout (i.e. how many reactions use this molecule as substrate)
O=CC(=O)O;1;30
N#CCNCC(N)=O;2;15
COC(=O)CC(NCC(=O)NCCC#N)C(=O)OC;1;18
N#CCCN(CC(=O)O)C(=O)CN(CC#N)C(=O)CN;1;33
C=Cc1nc(N)nc(NCCC(N)=S)n1;1;2
N#CCCNC(=O)CNCC(O)C(O)CO;1;14
COC(=O)CN(CC#N)C(=N)NC(=N)N;1;15
N#CCNC(=S)CCN(CC(=O)O)C(=N)N;1;1
CC(C#N)NCC(=O)NC(C#N)CC#N;1;14
N#CC(CO)N(CC(=O)O)C(=O)CNC(=N)NC(=N)N;1;1
CC(C#N)Nc1[nH]cnc1C#N;1;9
N=C(N)NCC(=O)N(CC(N)=O)CC(=O)OCC(N)=O;1;1
N#CC(Nc1cc[nH]c(=O)n1)C(=CCO)c1ccccc1;1;8
NC(=S)CCN(C=O)CC(N)=S;1;0
C=Cc1nc(N)nc(N(CC#N)C(C#N)CC#N)n1;4;19
O=CNCC(=O)NCC(=O)NCC(=O)O;1;1
NC(=O)NCC(=O)NC(CC(N)=S)C(N)=S;1;2
N=C(N)NCCC=Nc1ncc(Cc2ccccc2)o1;1;1
N#CCCC=NCC(=O)NCC#N;1;1
COC(=O)CCNCC(=O)N(CCC#N)C(C#N)CC#N;1;14
NC(=O)CN=CC(O)C(O)CO;1;1
CC(N=C(CO)Cc1ccccc1)C(=O)O;1;0
NC(=S)Cc1nc[nH]c1NC=O;1;1
COC(=O)CNC(=N)NC(=N)N;1;15
N#CCCN(CC#N)CC(=O)N(CCC(N)=O)CC(=O)O;1;6
N#CCCC=NCC(=O)N(CC(N)=O)CC(=O)O;1;1
O=C(O)C=C(NCC(=O)O)C(=O)O;1;0
CC(NC(=O)CN(CCC#N)CCC#N)C(N)=O;1;2
N#CC=Cn1cnc(C(=O)OCC(N)=O)c1NC(N)=O;1;0
O=C(O)c1nc[nH]c(=O)c1N=C(CO)Cc1ccccc1;1;0
NC(=O)CCNC(=O)CNC(=CC(=O)O)C(=O)O;1;1
CCN(CC(N)=O)C(=O)CNC(N)=O;1;0
N#CCN(C(=O)CNC(N)=O)c1[nH]cnc1C(=O)O;1;10
N#CCC(C#N)N(CC#N)C(=O)CN=CCCNC(=N)N;1;1
N#CCN(CC(N)=O)C(=N)NC(=N)N;1;1
N#CCCC=NCC(=O)N(CC#N)C(C#N)CC#N;1;1
CC(OC(=O)CCNC(N)=O)C(N)=O;1;4
N=CNc1ncnc2c1ncn2C(=N)N;1;1
CC(C=O)NC(=N)NC(=N)N;1;4
