log(k);k;average increase of degree between 5th and 6th generation; cumulative distribution(k); log(cumulative distribution)
0;1;0.08;0.08;-1.09691001300806
0.301029995663981;2;0.0366972477064;0.1166972477064;-0.93293938662831
0.477121254719662;3;0.0357142857143;0.1524115334207;-0.816982167435764
0.602059991327962;4;0.346153846154;0.4985653795747;-0.302277882233546
0.698970004336019;5;0.392857142857;0.8914225224317;-0.04991639734852
0.778151250383644;6;0.714285714286;1.6057082367177;0.205666635155128
0.845098040014257;7;0.307692307692;1.9134005444097;0.281805893194124
0.903089986991943;8;2.875;4.7884005444097;0.68019047150696
0.954242509439325;9;1.375;6.1634005444097;0.789820392389824
1;10;1.16666666667;7.3300672110797;0.865107956805823
1.04139268515823;11;1.42857142857;8.7586386396497;0.942436608767013
1.07918124604762;12;1;9.7586386396497;0.989389236465319
1.11394335230684;13;0;9.7586386396497;0.989389236465319
1.14612803567824;14;1.6;11.3586386396497;1.05532628324852
1.17609125905568;15;1.35714285714;12.7157814967897;1.1043430565537
1.20411998265592;16;1.83333333333;14.5491148301197;1.16283657159763
1.23044892137827;17;2;16.5491148301197;1.21877476943045
1.25527250510331;18;1.6;18.1491148301197;1.25885544844822
1.27875360095283;19;4.8;22.9491148301197;1.36076593903196
1.30102999566398;20;0;22.9491148301197;1.36076593903196
1.32221929473392;21;1.5;24.4491148301197;1.3882631402959
1.34242268082221;22;0.5;24.9491148301197;1.39705514189472
1.38021124171161;24;1;25.9491148301197;1.41412254788963
1.39794000867204;25;0;25.9491148301197;1.41412254788963
1.41497334797082;26;0;25.9491148301197;1.41412254788963
1.44715803134222;28;0.75;26.6991148301197;1.42649686320851
1.46239799789896;29;0;26.6991148301197;1.42649686320851
1.47712125471966;30;1;27.6991148301197;1.44246589070571
1.49136169383427;31;1;28.6991148301197;1.45786850194922
1.50514997831991;32;1.5;30.1991148301197;1.47999421348601
1.51851393987789;33;3.33333333333;33.5324481634497;1.52546526190075
1.53147891704226;34;1.2;34.7324481634497;1.54073539622193
1.54406804435028;35;1.66666666667;36.3991148301197;1.5610908224109
1.55630250076729;36;7;43.3991148301197;1.63748087171724
1.56820172406699;37;5.5;48.8991148301197;1.68930099761291
1.6232492903979;42;15;63.8991148301197;1.80549484208552
1.68124123737559;48;0;63.8991148301197;1.80549484208552
